alpha_s2,mse,mae
0.9500000000000001,59.64048345924908,2.4487042124542127
0.9,59.666265338827834,2.4473946886446885
1.0,59.811355311355314,2.4511446886446886
0.8500000000000001,59.888700950091575,2.446978021978022
0.8,60.30779029304029,2.4477289377289377
0.75,60.92353336767399,2.449570741758242
0.7000000000000001,61.73593017399267,2.45242673992674
0.65,62.74498071199634,2.456256868131868
0.6000000000000001,63.95068498168498,2.4609752747252744
0.55,65.35304298305861,2.4666197344322343
0.5,66.95205471611722,2.4729281135531136
0.45,68.74772018086081,2.4806410256410256
0.4,70.74003937728938,2.4889926739926738
0.35000000000000003,72.92901230540292,2.4981971153846154
0.30000000000000004,75.31463896520145,2.508182234432234
0.25,77.89691935668498,2.5189617673992672
0.2,80.67585347985349,2.5304761904761905
0.15000000000000002,83.65144133470696,2.542769001831502
0.1,86.82368292124542,2.55580815018315
0.05,90.19257823946886,2.5695879120879117
0.0,93.75812728937728,2.583562271062271
