h,mse_s1,mse_s2,mse_naive,skill_s1,skill_s2
1,195.6668243408203,66.75849151611328,68.2860576923077,-1.8653993355785987,0.022370103470865432
2,60.334774017333984,37.13718032836914,36.876282051282054,-0.6361403769889098,-0.007074961535554758
3,175.3616943359375,42.05865478515625,44.95240384615385,-2.9010526541828425,0.06437362217382714
4,63.90753173828125,73.47772216796875,76.78798076923077,0.16774043153522755,0.04310907212432458
5,262.42291259765625,103.10929107666016,131.2636217948718,-0.9992051796936521,0.214486925876607
6,61.042789459228516,64.09391021728516,63.73317307692308,0.04221323822128531,-0.005660115806986221
7,38.72611999511719,35.96907043457031,34.64022435897436,-0.11795234331628346,-0.038361358801410006
8,58.788780212402344,59.13974380493164,59.71474358974359,0.015506444835514444,0.009629109165440908
9,47.960575103759766,50.48958206176758,47.90352564102564,-0.0011909240910916719,-0.053984678291135735
10,39.48814010620117,37.161376953125,45.822916666666664,0.1382447260297084,0.18902200784269152
11,66.60224151611328,55.82612228393555,76.78798076923077,0.13264757258988835,0.27298358773479714
12,146.1062469482422,117.8621826171875,132.94871794871796,-0.09896694908031733,0.11347635061324735
13,52.51570510864258,58.875,54.27628205128205,0.03243731656077731,-0.08472794699483877
14,43.689422607421875,35.40064239501953,30.1349358974359,-0.4497931157417625,-0.17473760407207894
