fold_id,t_end,mse,mae,skill_vs_naive,mode,run_type
0,730,538.4955444335938,7.069940567016602,0.005616764342501024,S5_dynp14_latent16,manual
1,744,273.3348083496094,5.34375,-0.008194772662343697,S5_dynp14_latent16,manual
2,758,227.34970092773438,5.486607074737549,0.00784483384905732,S5_dynp14_latent16,manual
3,772,81.56696319580078,3.6354167461395264,-0.018147657311250454,S5_dynp14_latent16,manual
4,786,54.48214340209961,2.699404716491699,-0.06535529989415934,S5_dynp14_latent16,manual
5,800,50.04464340209961,3.044642925262451,-0.005471386697007086,S5_dynp14_latent16,manual
6,814,40.15625,2.736607074737549,-0.002563571907015838,S5_dynp14_latent16,manual
7,828,98.45088958740234,3.7544643878936768,-0.006633843287933594,S5_dynp14_latent16,manual
8,842,76.97172546386719,3.5104167461395264,-0.036801654469741374,S5_dynp14_latent16,manual
9,856,217.8020782470703,6.013392925262451,-0.010326669442245917,S5_dynp14_latent16,manual
10,870,43.07143020629883,2.8392856121063232,-0.0979440164042269,S5_dynp14_latent16,manual
11,884,68.63243865966797,3.340773820877075,-0.023705430908519842,S5_dynp14_latent16,manual
12,898,49.61606979370117,3.0267856121063232,-0.026950415871115352,S5_dynp14_latent16,manual
13,912,40.56547546386719,2.6190476417541504,-0.03195029557225815,S5_dynp14_latent16,manual
14,926,54.91071319580078,3.017857074737549,0.01636725843108322,S5_dynp14_latent16,manual
15,940,49.42856979370117,3.095238208770752,0.007262685354810339,S5_dynp14_latent16,manual
16,954,50.56993865966797,3.1622023582458496,-0.006754500513189043,S5_dynp14_latent16,manual
17,968,70.89881134033203,3.732142925262451,0.0201949815201532,S5_dynp14_latent16,manual
18,982,37.06696319580078,2.65625,-0.006302281466280091,S5_dynp14_latent16,manual
19,996,86.8110122680664,3.471726179122925,0.00210401523036563,S5_dynp14_latent16,manual
20,1010,63.44791793823242,2.9627976417541504,-0.01992636412810489,S5_dynp14_latent16,manual
21,1024,132.07440185546875,4.0625,-0.005711048285035547,S5_dynp14_latent16,manual
22,1038,60.82143020629883,3.422619104385376,-0.0173997734456679,S5_dynp14_latent16,manual
23,1052,71.87053680419922,3.1919643878936768,-0.004053854855283756,S5_dynp14_latent16,manual
24,1066,63.66964340209961,3.047619104385376,-0.01588433977346182,S5_dynp14_latent16,manual
25,1080,88.04612731933594,3.736607074737549,-0.005779642543453978,S5_dynp14_latent16,manual
26,1094,60.84077453613281,3.174107074737549,-0.027029098090119996,S5_dynp14_latent16,manual
27,1108,51.46131134033203,2.9285714626312256,-0.016818622311863818,S5_dynp14_latent16,manual
28,1122,59.699405670166016,3.0833332538604736,0.002461618285032441,S5_dynp14_latent16,manual
29,1136,85.61607360839844,3.1190476417541504,-0.01294036833473089,S5_dynp14_latent16,manual
30,1150,42.85416793823242,2.6964285373687744,-0.005481656298852222,S5_dynp14_latent16,manual
31,1164,88.12202453613281,3.7440476417541504,0.013690860608271516,S5_dynp14_latent16,manual
32,1178,62.099700927734375,3.358630895614624,0.006002429694441758,S5_dynp14_latent16,manual
33,1192,29.303571701049805,2.345238208770752,0.0003553263028912568,S5_dynp14_latent16,manual
34,1206,37.78422546386719,2.424107074737549,-0.03827436673323348,S5_dynp14_latent16,manual
35,1220,40.98958206176758,2.096726179122925,-0.003022367178686869,S5_dynp14_latent16,manual
36,1234,47.80952453613281,2.4642856121063232,0.001553875587184561,S5_dynp14_latent16,manual
37,1248,18.561012268066406,1.7157738208770752,-0.03364555192075924,S5_dynp14_latent16,manual
38,1262,21.36458396911621,2.028273820877075,-0.039609055885091005,S5_dynp14_latent16,manual
39,1276,25.025297164916992,1.9747023582458496,-0.025176733216155878,S5_dynp14_latent16,manual
40,1290,38.61606979370117,2.404761791229248,-0.03563874018171154,S5_dynp14_latent16,manual
41,1304,38.21577453613281,2.3229167461395264,-0.01317712109051361,S5_dynp14_latent16,manual
42,1318,19.806547164916992,1.8660714626312256,0.05050650515557242,S5_dynp14_latent16,manual
43,1332,32.4538688659668,2.5074405670166016,-0.24374108228854796,S5_dynp14_latent16,manual
44,1346,17.537202835083008,1.828869104385376,0.015702015828551796,S5_dynp14_latent16,manual
45,1360,30.3988094329834,1.7946428060531616,-0.013142854854379493,S5_dynp14_latent16,manual
46,1374,34.62946319580078,2.3526785373687744,0.006955757331516543,S5_dynp14_latent16,manual
47,1388,23.775297164916992,2.016369104385376,0.008378870760894497,S5_dynp14_latent16,manual
48,1402,25.6949405670166,1.9806547164916992,-0.03949190663025437,S5_dynp14_latent16,manual
49,1416,29.433034896850586,2.299107074737549,-0.021431519801149213,S5_dynp14_latent16,manual
50,1430,24.081844329833984,2.001488208770752,-0.003908188733583673,S5_dynp14_latent16,manual
