fold_id,t_end,mse,mae,skill_vs_naive,mode,run_type
0,730,540.90625,6.608631134033203,0.0011651672473718122,S2_horizon_linear,manual
1,744,266.3690490722656,4.767857074737549,0.01749841341024605,S2_horizon_linear,manual
2,758,227.4032745361328,5.03720235824585,0.007611038369560563,S2_horizon_linear,manual
3,772,78.69047546386719,3.122023820877075,0.017757679001472626,S2_horizon_linear,manual
4,786,49.001487731933594,2.1145832538604736,0.04181459468971127,S2_horizon_linear,manual
5,800,49.66071319580078,2.5357143878936768,0.0022423426989737205,S2_horizon_linear,manual
6,814,40.019344329833984,2.2425594329833984,0.0008544922223778784,S2_horizon_linear,manual
7,828,89.81993865966797,3.186011791229248,0.08161530651686955,S2_horizon_linear,manual
8,842,330.1160583496094,7.845238208770752,-3.446631193483819,S2_horizon_linear,manual
9,856,215.6488037109375,5.5535712242126465,-0.00033819408886559543,S2_horizon_linear,manual
10,870,38.912200927734375,2.296130895614624,0.008079881046600845,S2_horizon_linear,manual
11,884,66.90029907226562,2.8169643878936768,0.0021307587613286216,S2_horizon_linear,manual
12,898,47.769344329833984,2.4747023582458496,0.011272996241202926,S2_horizon_linear,manual
13,912,39.57143020629883,2.092261791229248,-0.006662651692092458,S2_horizon_linear,manual
14,926,55.68006134033203,2.581845283508301,0.0025856850261305464,S2_horizon_linear,manual
15,940,50.0476188659668,2.6339285373687744,-0.0051704705345774205,S2_horizon_linear,manual
16,954,43.592262268066406,2.511904716491699,0.13215820724479244,S2_horizon_linear,manual
17,968,62.73660659790039,3.046130895614624,0.1329947452581538,S2_horizon_linear,manual
18,982,32.369049072265625,2.014880895614624,0.12123775130289094,S2_horizon_linear,manual
19,996,74.6875,2.702380895614624,0.14146426340085194,S2_horizon_linear,manual
20,1010,67.96279907226562,2.575892925262451,-0.09250315544201304,S2_horizon_linear,manual
21,1024,115.5014877319336,3.483630895614624,0.12048723542597461,S2_horizon_linear,manual
22,1038,55.64731979370117,2.953869104385376,0.06915094960876245,S2_horizon_linear,manual
23,1052,74.01934814453125,2.846726179122925,-0.034073420668392584,S2_horizon_linear,manual
24,1066,57.83481979370117,2.581845283508301,0.0772134948049078,S2_horizon_linear,manual
25,1080,81.64583587646484,3.2410714626312256,0.06733297507614122,S2_horizon_linear,manual
26,1094,65.52529907226562,2.9270832538604736,-0.10610670757170593,S2_horizon_linear,manual
27,1108,52.13243865966797,2.59375,-0.03007935621990554,S2_horizon_linear,manual
28,1122,60.88243865966797,2.721726179122925,-0.017306096328129073,S2_horizon_linear,manual
29,1136,74.84672546386719,2.4955356121063232,0.11447387780486729,S2_horizon_linear,manual
30,1150,43.105655670166016,2.2723214626312256,-0.011382279584967625,S2_horizon_linear,manual
31,1164,89.77678680419922,3.3839285373687744,-0.00483012954266715,S2_horizon_linear,manual
32,1178,62.72768020629883,2.96875,-0.0040493075566232495,S2_horizon_linear,manual
33,1192,29.98214340209961,1.9464285373687744,-0.02279306644582335,S2_horizon_linear,manual
34,1206,35.0788688659668,1.9806547164916992,0.036066244301885875,S2_horizon_linear,manual
35,1220,40.35416793823242,1.7291666269302368,0.012526329496644006,S2_horizon_linear,manual
36,1234,46.99702453613281,2.0892856121063232,0.01852198986893827,S2_horizon_linear,manual
37,1248,14.147321701049805,1.266369104385376,0.21214878064376463,S2_horizon_linear,manual
38,1262,16.465774536132812,1.507440447807312,0.19876893719667765,S2_horizon_linear,manual
39,1276,19.997024536132812,1.476190447807312,0.18080955631025974,S2_horizon_linear,manual
40,1290,35.19493865966797,1.9866071939468384,0.056112076423257995,S2_horizon_linear,manual
41,1304,34.686012268066406,1.9806547164916992,0.08040398295101492,S2_horizon_linear,manual
42,1318,21.64285659790039,1.672619104385376,-0.03752316738763306,S2_horizon_linear,manual
43,1332,27.754465103149414,1.9032738208770752,-0.06364417161770208,S2_horizon_linear,manual
44,1346,17.285715103149414,1.4821428060531616,0.029817087081014382,S2_horizon_linear,manual
45,1360,29.415178298950195,1.430059552192688,0.019639970323529043,S2_horizon_linear,manual
46,1374,33.8898811340332,2.0059523582458496,0.028164220895232406,S2_horizon_linear,manual
47,1388,21.9375,1.6220238208770752,0.08502979492585339,S2_horizon_linear,manual
48,1402,24.02083396911621,1.648809552192688,0.028234276849913087,S2_horizon_linear,manual
49,1416,26.949405670166016,1.8303571939468384,0.06475929213943066,S2_horizon_linear,manual
50,1430,23.17708396911621,1.6056547164916992,0.03380886991548637,S2_horizon_linear,manual
51,1444,27.522321701049805,1.694940447807312,0.1607296968346178,S2_horizon_linear,manual
52,1458,61.15327453613281,2.8854167461395264,0.06646823952553582,S2_horizon_linear,manual
53,1472,42.8898811340332,2.2767856121063232,-0.3216856806555033,S2_horizon_linear,manual
54,1486,48.59821319580078,2.544642925262451,0.05757077431004798,S2_horizon_linear,manual
55,1500,23.32291603088379,1.7098214626312256,0.04082007092389961,S2_horizon_linear,manual
56,1514,77.11756134033203,3.2247023582458496,-0.09887615799451344,S2_horizon_linear,manual
57,1528,43.25446319580078,1.858630895614624,0.09839014398534385,S2_horizon_linear,manual
58,1542,22.590774536132812,1.632440447807312,0.12435826215891843,S2_horizon_linear,manual
59,1556,28.70833396911621,1.9404761791229248,0.03375736320640765,S2_horizon_linear,manual
60,1570,25.85416603088379,1.7946428060531616,0.13186430956108997,S2_horizon_linear,manual
61,1584,35.53571319580078,1.9047619104385376,0.06371302168708215,S2_horizon_linear,manual
62,1598,42.775299072265625,2.2425594329833984,0.1085992091356337,S2_horizon_linear,manual
63,1612,81.8110122680664,2.659226179122925,0.04017252870540455,S2_horizon_linear,manual
64,1626,49.52678680419922,2.4017856121063232,0.1193839842330654,S2_horizon_linear,manual
65,1640,52.45089340209961,2.4300594329833984,0.15529512387157152,S2_horizon_linear,manual
66,1654,46.27083206176758,2.282738208770752,0.19242658891704356,S2_horizon_linear,manual
67,1668,40.55356979370117,2.25,0.21766096496631215,S2_horizon_linear,manual
68,1682,56.01041793823242,2.528273820877075,0.13200192720372195,S2_horizon_linear,manual
69,1696,34.82589340209961,2.0074405670166016,0.21553310612370424,S2_horizon_linear,manual
70,1710,57.16071319580078,2.1458332538604736,0.05405471776095305,S2_horizon_linear,manual
71,1724,42.52678680419922,1.8303571939468384,0.11212596054713309,S2_horizon_linear,manual
72,1738,52.37946319580078,2.1354167461395264,0.08626242900480319,S2_horizon_linear,manual
73,1752,45.11756134033203,2.340773820877075,0.1272344544721853,S2_horizon_linear,manual
74,1766,86.55654907226562,2.6458332538604736,0.08375469060122398,S2_horizon_linear,manual
75,1780,62.31696319580078,2.355654716491699,0.08806432935400232,S2_horizon_linear,manual
76,1794,56.83333206176758,2.247023820877075,0.09233072887553506,S2_horizon_linear,manual
77,1808,52.8586311340332,2.4955356121063232,0.09060419554351473,S2_horizon_linear,manual
78,1822,83.79762268066406,2.9940476417541504,0.08313522298839637,S2_horizon_linear,manual
79,1836,91.78868865966797,2.919642925262451,-0.004560084179489721,S2_horizon_linear,manual
80,1850,121.96279907226562,4.319940567016602,0.06413854997427038,S2_horizon_linear,manual
81,1864,93.50743865966797,3.3377976417541504,0.038057087082618346,S2_horizon_linear,manual
82,1878,90.92411041259766,3.4955356121063232,0.0947731328146576,S2_horizon_linear,manual
83,1892,61.35416793823242,2.7410714626312256,0.13865497029672424,S2_horizon_linear,manual
84,1906,85.17411041259766,3.108630895614624,0.029338410292405914,S2_horizon_linear,manual
85,1920,79.02529907226562,3.1354167461395264,0.1397492500423564,S2_horizon_linear,manual
86,1934,58.94196319580078,2.3497023582458496,0.24644713453231126,S2_horizon_linear,manual
87,1948,74.06696319580078,2.6919643878936768,0.16221175774926322,S2_horizon_linear,manual
88,1962,67.39434814453125,2.638392925262451,0.1804972431866373,S2_horizon_linear,manual
89,1976,62.17856979370117,2.6964285373687744,0.14135996220659064,S2_horizon_linear,manual
90,1990,50.7038688659668,2.5520832538604736,0.21052386179238447,S2_horizon_linear,manual
91,2004,62.55208206176758,2.7098214626312256,0.20802244167433726,S2_horizon_linear,manual
92,2018,73.79612731933594,2.950892925262451,0.14338774765210227,S2_horizon_linear,manual
93,2032,89.32737731933594,2.8482143878936768,-0.05006469901773003,S2_horizon_linear,manual
94,2046,66.10267639160156,2.6622023582458496,0.03552121334368141,S2_horizon_linear,manual
95,2060,40.900299072265625,2.206845283508301,0.07120162013940423,S2_horizon_linear,manual
96,2074,32.592262268066406,1.7678571939468384,0.07617681716729141,S2_horizon_linear,manual
97,2088,56.05803680419922,2.2455356121063232,0.15807707639932167,S2_horizon_linear,manual
98,2102,60.425594329833984,2.6160714626312256,-0.2646298355491743,S2_horizon_linear,manual
99,2116,63.94493865966797,2.388392925262451,-0.2875591883209805,S2_horizon_linear,manual
100,2130,48.331844329833984,2.203869104385376,0.10607436643329404,S2_horizon_linear,manual
101,2144,94.82440185546875,2.7589285373687744,-0.07791457997898599,S2_horizon_linear,manual
102,2158,98.80654907226562,2.842261791229248,0.056846550871319845,S2_horizon_linear,manual
103,2172,89.1235122680664,2.888392925262451,-0.02449578325895785,S2_horizon_linear,manual
104,2186,71.54463958740234,2.580357074737549,0.0625694825772859,S2_horizon_linear,manual
105,2200,85.52529907226562,3.1205356121063232,-0.06966310489909788,S2_horizon_linear,manual
106,2214,68.8452377319336,2.5535714626312256,0.014485303312522513,S2_horizon_linear,manual
107,2228,39.550594329833984,1.9791666269302368,-0.06040534308539924,S2_horizon_linear,manual
108,2242,63.1726188659668,2.5863094329833984,0.06958602329720143,S2_horizon_linear,manual
109,2256,47.55952453613281,2.440476179122925,0.1647283095364973,S2_horizon_linear,manual
110,2270,70.93154907226562,2.75,0.05759309840518001,S2_horizon_linear,manual
111,2284,42.62946319580078,2.1145832538604736,0.06690338947358931,S2_horizon_linear,manual
112,2298,26.95089340209961,1.6532738208770752,0.14867911187115956,S2_horizon_linear,manual
113,2312,43.587799072265625,1.9270833730697632,-0.027177741443781267,S2_horizon_linear,manual
114,2326,77.07737731933594,2.6636905670166016,0.05001560475208189,S2_horizon_linear,manual
115,2340,39.24702453613281,2.0863094329833984,-0.015009221865909694,S2_horizon_linear,manual
116,2354,25.175594329833984,1.7827380895614624,0.06992858131868251,S2_horizon_linear,manual
117,2368,29.636905670166016,1.6755952835083008,0.11441148214970454,S2_horizon_linear,manual
118,2382,30.209821701049805,1.65625,-0.004552457434637169,S2_horizon_linear,manual
119,2396,43.72768020629883,2.1145832538604736,0.13864865297440299,S2_horizon_linear,manual
120,2410,61.681549072265625,2.6488094329833984,-0.029097794740615246,S2_horizon_linear,manual
121,2424,36.80506134033203,2.424107074737549,0.11455977269828099,S2_horizon_linear,manual
122,2438,23.20833396911621,1.711309552192688,0.26440897669016017,S2_horizon_linear,manual
123,2452,63.67708206176758,2.299107074737549,0.11592499281038104,S2_horizon_linear,manual
124,2466,31.297618865966797,1.8184523582458496,0.16197153894396654,S2_horizon_linear,manual
125,2480,37.125,2.136904716491699,0.1095723866957593,S2_horizon_linear,manual
126,2494,34.904762268066406,1.8779761791229248,0.2078084349105177,S2_horizon_linear,manual
127,2508,30.641368865966797,1.8467261791229248,0.2519164141762448,S2_horizon_linear,manual
128,2522,52.33481979370117,2.2574405670166016,-0.2078095797678503,S2_horizon_linear,manual
