fold_id,t_end,mse,mae,skill_vs_naive,mode,run_type
0,730,538.9345092773438,7.0625,0.0048061740113829465,S6_dynp14_latent16_hlinear,manual
1,744,269.1651916503906,5.284226417541504,0.007184848343631867,S6_dynp14_latent16_hlinear,manual
2,758,230.7857208251953,5.550595283508301,-0.007149973174449098,S6_dynp14_latent16_hlinear,manual
3,772,80.83928680419922,3.627976179122925,-0.00906454345777341,S6_dynp14_latent16_hlinear,manual
4,786,51.337799072265625,2.6324405670166016,-0.0038701290234464114,S6_dynp14_latent16_hlinear,manual
5,800,51.17708206176758,3.078869104385376,-0.02822376521506209,S6_dynp14_latent16_hlinear,manual
6,814,40.581844329833984,2.7425594329833984,-0.013189199835463628,S6_dynp14_latent16_hlinear,manual
7,828,97.20088958740234,3.688988208770752,0.006147070215065553,S6_dynp14_latent16_hlinear,manual
8,842,74.67708587646484,3.721726179122925,-0.0058930824415965866,S6_dynp14_latent16_hlinear,manual
9,856,214.13690185546875,5.967261791229248,0.006675121754826652,S6_dynp14_latent16_hlinear,manual
10,870,38.425594329833984,2.9583332538604736,0.020484084945765146,S6_dynp14_latent16_hlinear,manual
11,884,67.03868865966797,3.261904716491699,6.657198650805718e-05,S6_dynp14_latent16_hlinear,manual
12,898,48.78571319580078,2.9434523582458496,-0.00976374515977696,S6_dynp14_latent16_hlinear,manual
13,912,39.53125,2.516369104385376,-0.00564050230786628,S6_dynp14_latent16_hlinear,manual
14,926,56.58481979370117,3.046130895614624,-0.013621535498792525,S6_dynp14_latent16_hlinear,manual
15,940,50.438987731933594,3.1026785373687744,-0.013030833046727697,S6_dynp14_latent16_hlinear,manual
16,954,51.650299072265625,3.1502976417541504,-0.028262489970697136,S6_dynp14_latent16_hlinear,manual
17,968,72.79463958740234,3.75,-0.006004922195279594,S6_dynp14_latent16_hlinear,manual
18,982,37.220237731933594,2.6458332538604736,-0.010463413161541535,S6_dynp14_latent16_hlinear,manual
