fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,lag_window,mollified,run_type
50,1430,27.988094329833984,1.4077380895614624,-0.16674938596623745,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
51,1444,38.00446319580078,1.6830357313156128,-0.1589144874634867,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
52,1458,61.5625,2.3035714626312256,0.06022123197585516,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
53,1472,58.31993865966797,2.3794643878936768,-0.7971751328083498,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
54,1486,37.38393020629883,1.7142857313156128,0.2750410749543015,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
55,1500,28.64583396911621,1.514880895614624,-0.17809063662702962,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
56,1514,59.251487731933594,1.992559552192688,0.15570401783083798,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
57,1528,47.974700927734375,1.9032738208770752,0.0,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
58,1542,39.813987731933594,1.8169642686843872,-0.5432312580612297,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
59,1556,38.50446319580078,1.8854166269302368,-0.29595308758273187,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
60,1570,49.543155670166016,2.081845283508301,-0.6635687108555219,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
61,1584,46.69493865966797,1.9360119104385376,-0.23030774081477845,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
62,1598,59.662200927734375,2.1830356121063232,-0.24330943897885127,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
63,1612,85.23512268066406,2.672619104385376,0.0,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
64,1626,75.79017639160156,2.421130895614624,-0.3475948567409688,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
65,1640,69.0922622680664,2.309523820877075,-0.11270880351188972,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
66,1654,74.55952453613281,2.452380895614624,-0.3013012058652833,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
67,1668,68.40327453613281,2.3199405670166016,-0.3196015065005331,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
68,1682,61.144344329833984,2.230654716491699,0.052441045892277605,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
69,1696,62.69047546386719,2.3214285373687744,-0.41212752232805916,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
70,1710,69.6547622680664,1.952380895614624,-0.15270769150935415,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
71,1724,13977.96875,44.30803680419922,-290.8319607486304,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
72,1738,69.75,2.238095283508301,-0.21675923517338402,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
73,1752,69.22172546386719,2.40625,-0.3390426076252122,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
74,1766,89.14583587646484,2.565476179122925,0.056345766441655676,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
75,1780,79.26487731933594,2.5863094329833984,-0.15994851722415482,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
76,1794,70.85416412353516,2.4285714626312256,-0.1315920635490222,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
77,1808,90.65625,2.793154716491699,-0.5596774193548386,S8_y_large_lag_mollified,drug,y_large_history,1..14,True,manual
