fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,lag_window,mollified,run_type
73,1752,65.04017639160156,2.4270832538604736,-0.2581536621948921,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
74,1766,89.64583587646484,2.7142856121063232,0.051053010900802165,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
75,1780,79.24702453613281,2.6934523582458496,-0.1596872626798329,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
76,1794,69.03868865966797,2.5059523582458496,-0.10259761203170181,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
77,1808,94.11904907226562,2.922619104385376,-0.619252457157258,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
78,1822,139.6488037109375,3.6785714626312256,-0.527955867701607,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
79,1836,80.26934814453125,2.638392925262451,0.1215106751543088,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
80,1850,102.55803680419922,3.2127976417541504,0.21303779705400405,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
81,1864,146.3363037109375,3.8690476417541504,-0.505411465387279,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
82,1878,106.28125,3.3377976417541504,-0.058120255908627794,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
83,1892,82.58333587646484,2.9583332538604736,-0.15937919596792915,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
84,1906,90.9360122680664,3.248511791229248,-0.03632540219328595,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
85,1920,105.48362731933594,3.171130895614624,-0.14826986515711726,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
86,1934,103.01786041259766,3.1875,-0.3170481554946565,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
87,1948,89.89881134033203,2.934523820877075,-0.016865872226248024,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
88,1962,90.5,3.2559523582458496,-0.10046319214421384,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
89,1976,97.23362731933594,2.8377976417541504,-0.34272444209101893,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
90,1990,104.29612731933594,3.126488208770752,-0.6239254650121286,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
91,2004,126.49553680419922,3.3973214626312256,-0.6015714117774453,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
92,2018,101.70684814453125,2.9776785373687744,-0.1805949096933792,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
93,2032,107.29463958740234,3.0982143878936768,-0.2612741670651686,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
94,2046,91.79315185546875,2.8824405670166016,-0.33931865633461533,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
95,2060,65.51487731933594,2.4791667461395264,-0.48776691836532793,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
96,2074,53.363094329833984,2.235119104385376,-0.5125695554398837,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
97,2088,74.92559814453125,2.2916667461395264,-0.1252905424195656,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
98,2102,78.64583587646484,2.5565476417541504,-0.6459560157271911,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
99,2116,73.11607360839844,2.7886905670166016,-0.47222398459855475,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
100,2130,62.08928680419922,2.5833332538604736,-0.1483775513587844,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
101,2144,113.5297622680664,3.074404716491699,-0.2905474077951091,S9_y_large_lag_lr_low_mollified,drug,y_large_history,1..14,True,manual
