seed,fold_id,t_end,mse,mae,naive_mse,skill,w,label
42,0,730,0.8730558755760369,0.3564228110599078,0.7736175060272217,-0.12853686579491175,0.5,blend_w0.50
42,1,744,0.44002016129032256,0.27289746543778803,0.4225230515003204,-0.04141101823408788,0.5,blend_w0.50
42,2,758,1.671875,0.35527073732718895,1.419930934906006,-0.1774340278815545,0.5,blend_w0.50
42,3,772,0.8904089861751152,0.37586405529953915,0.8024193644523621,-0.1096554066623312,0.5,blend_w0.50
42,4,786,1.2182459677419355,0.43418778801843316,1.02102530002594,-0.19315943269083058,0.5,blend_w0.50
42,5,800,2.989559331797235,0.8310771889400922,0.6097350120544434,-3.903046852638825,0.5,blend_w0.50
42,6,814,0.6757632488479263,0.3601670506912442,0.6411290168762207,-0.05402069015758215,0.5,blend_w0.50
42,7,828,0.7939228110599078,0.38421658986175117,0.7687212228775024,-0.03278378094996515,0.5,blend_w0.50
42,8,842,0.6304003456221198,0.31984447004608296,0.6140552759170532,-0.026618238367313474,0.5,blend_w0.50
42,9,856,0.6567540322580645,0.34893433179723504,0.627592146396637,-0.04646630144889885,0.5,blend_w0.50
42,10,870,0.6442972350230415,0.31451612903225806,0.6221198439598083,-0.03564810105087379,0.5,blend_w0.50
42,11,884,1.105126728110599,0.4400921658986175,1.0645161867141724,-0.03814929439615056,0.5,blend_w0.50
42,12,898,1.3774481566820276,0.5184331797235023,1.2995392084121704,-0.05995121021785055,0.5,blend_w0.50
42,13,912,0.9951756912442397,0.46068548387096775,0.9205068945884703,-0.0811170422456764,0.5,blend_w0.50
42,14,926,1.112327188940092,0.4619815668202765,1.0440667867660522,-0.06537934453932137,0.5,blend_w0.50
42,15,940,0.9942396313364056,0.4245391705069124,0.9026497602462769,-0.10146778421027847,0.5,blend_w0.50
42,16,954,0.6751152073732719,0.34389400921658986,0.5169931054115295,-0.3058495370762755,0.5,blend_w0.50
42,17,968,0.9686059907834101,0.43548387096774194,0.9593893885612488,-0.009606737714686453,0.5,blend_w0.50
42,18,982,0.6092309907834101,0.2913306451612903,0.586693525314331,-0.03841437564357686,0.5,blend_w0.50
42,19,996,1.0054003456221199,0.4459965437788018,0.9579492807388306,-0.04953400543992492,0.5,blend_w0.50
42,20,1010,1.0387384792626728,0.4046658986175115,1.0365782976150513,-0.0020839541524182437,0.5,blend_w0.50
42,21,1024,0.6900201612903226,0.35181451612903225,0.6952764987945557,0.007560067848325525,0.5,blend_w0.50
42,22,1038,0.8331653225806451,0.3745679723502304,0.8280529975891113,-0.006173910373391989,0.5,blend_w0.50
42,23,1052,0.7290466589861752,0.3644873271889401,0.713421642780304,-0.021901516955636913,0.5,blend_w0.50
42,24,1066,0.6254320276497696,0.3415898617511521,0.6261520981788635,0.0011499929988069146,0.5,blend_w0.50
42,25,1080,1.0547235023041475,0.42223502304147464,1.0538594722747805,-0.0008198721481356142,0.5,blend_w0.50
42,26,1094,0.9378600230414746,0.4074020737327189,0.9202188849449158,-0.019170589068724597,0.5,blend_w0.50
42,27,1108,0.9203629032258065,0.3957373271889401,0.89573734998703,-0.027491935263314726,0.5,blend_w0.50
42,28,1122,1.1696428571428572,0.5040322580645161,1.1837557554244995,0.01192213699234046,0.5,blend_w0.50
42,29,1136,0.866647465437788,0.396889400921659,0.8559907674789429,-0.012449547779856518,0.5,blend_w0.50
42,30,1150,0.8023473502304147,0.42151497695852536,0.8061636090278625,0.004733851484625795,0.5,blend_w0.50
42,31,1164,1.0234735023041475,0.4308755760368664,0.9720622301101683,-0.05288886925289993,0.5,blend_w0.50
42,32,1178,1.0400345622119815,0.46975806451612906,0.9778226017951964,-0.0636229519573075,0.5,blend_w0.50
42,33,1192,0.6134072580645161,0.3351094470046083,0.6163594722747803,0.004789760428875245,0.5,blend_w0.50
42,34,1206,0.591661866359447,0.3523905529953917,0.5682603716850281,-0.04118093719086513,0.5,blend_w0.50
42,35,1220,0.671875,0.3474942396313364,0.6961405277252197,0.03485722603238206,0.5,blend_w0.50
42,36,1234,0.7768577188940092,0.4189228110599078,0.7353110313415527,-0.05650219537255663,0.5,blend_w0.50
42,37,1248,0.6533698156682027,0.3505184331797235,0.6961405277252197,0.06143976733660228,0.5,blend_w0.50
42,38,1262,0.7782978110599078,0.3855126728110599,0.7727534770965576,-0.007174777115441344,0.5,blend_w0.50
42,39,1276,1.084317396313364,0.45377304147465436,1.0512672662734983,-0.03143837071710687,0.5,blend_w0.50
42,40,1290,0.9399481566820277,0.3896889400921659,0.9205068945884703,-0.02112016999313071,0.5,blend_w0.50
42,41,1304,0.7294066820276498,0.38421658986175117,0.7151497602462769,-0.019935575139482964,0.5,blend_w0.50
42,42,1318,0.8940812211981567,0.3855126728110599,0.8643433451652527,-0.03440516572406582,0.5,blend_w0.50
42,43,1332,0.8125,0.375,0.8044354915618896,-0.010025053000150885,0.5,blend_w0.50
42,44,1346,0.9582373271889401,0.4444124423963134,0.930875599384308,-0.029393538538049047,0.5,blend_w0.50
42,45,1360,0.8508784562211982,0.40826612903225806,0.8292050957679749,-0.026137514788365346,0.5,blend_w0.50
42,46,1374,1.0784850230414746,0.43951612903225806,1.0630760192871094,-0.014494733654794034,0.5,blend_w0.50
42,47,1388,1.0242655529953917,0.42756336405529954,1.0195852518081665,-0.004590397104043076,0.5,blend_w0.50
42,48,1402,0.732214861751152,0.3794642857142857,0.6944124698638916,-0.05443795082578218,0.5,blend_w0.50
42,49,1416,0.7901785714285714,0.4009216589861751,0.7701612710952759,-0.02599105029629456,0.5,blend_w0.50
42,50,1430,0.8531826036866359,0.3964573732718894,0.850806474685669,-0.0027927960960156817,0.5,blend_w0.50
42,51,1444,1.0128168202764978,0.4040898617511521,0.9953917264938354,-0.017505765136345275,0.5,blend_w0.50
123,0,730,0.922883064516129,0.3765841013824885,0.7736175060272217,-0.19294490794996966,0.5,blend_w0.50
123,1,744,0.5069844470046083,0.2996831797235023,0.4225230515003204,-0.19989772203996292,0.5,blend_w0.50
123,2,758,1.7901065668202765,0.3832085253456221,1.419930934906006,-0.2606997444835404,0.5,blend_w0.50
123,3,772,0.9115063364055299,0.3935771889400922,0.8024193644523621,-0.1359475815088509,0.5,blend_w0.50
123,4,786,1.2445276497695852,0.4536290322580645,1.02102530002594,-0.2188999133889895,0.5,blend_w0.50
123,5,800,2.278297811059908,0.740639400921659,0.6097350120544434,-2.7365376204712324,0.5,blend_w0.50
123,6,814,0.6612183179723502,0.3558467741935484,0.6411290168762207,-0.03133425654950206,0.5,blend_w0.50
123,7,828,0.7950028801843319,0.3840725806451613,0.7687212228775024,-0.03418880151175108,0.5,blend_w0.50
123,8,842,0.6435051843317973,0.3207085253456221,0.6140552759170532,-0.04795970260293325,0.5,blend_w0.50
123,9,856,0.6528657834101382,0.34922235023041476,0.627592146396637,-0.04027079873228434,0.5,blend_w0.50
123,10,870,0.6705789170506913,0.3207085253456221,0.6221198439598083,-0.07789346950008813,0.5,blend_w0.50
123,11,884,1.1116071428571428,0.43894009216589863,1.0645161867141724,-0.04423695640394665,0.5,blend_w0.50
123,12,898,1.4305875576036866,0.5264976958525346,1.2995392084121704,-0.10084216647194233,0.5,blend_w0.50
123,13,912,1.0930299539170507,0.48847926267281105,0.9205068945884703,-0.18742180025246857,0.5,blend_w0.50
123,14,926,1.059475806451613,0.47465437788018433,1.0440667867660522,-0.014758653259423715,0.5,blend_w0.50
123,15,940,0.9851670506912442,0.4346198156682028,0.9026497602462769,-0.09141673113883453,0.5,blend_w0.50
123,16,954,0.6443692396313364,0.3595910138248848,0.5169931054115295,-0.24637878704091176,0.5,blend_w0.50
123,17,968,1.0691244239631337,0.47148617511520735,0.9593893885612488,-0.1143800804034838,0.5,blend_w0.50
123,18,982,0.6905241935483871,0.3320852534562212,0.586693525314331,-0.17697599130385333,0.5,blend_w0.50
