seed,w_star_mse,w_star_comp,mse_at_w_star_mse,p95_at_w_star_mse,mse_at_w_star_comp,p95_at_w_star_comp
42,0.5,0.45,0.9212394208613967,1.2898869527649763,0.921400392702056,1.2881455573156675
123,0.45,0.4,0.9222935821738745,1.325416186635944,0.9228267901453386,1.3229262672811053
456,0.45,0.35,0.9284609014976959,1.3438307891705061,0.9308822503101737,1.3362397753456214
789,0.45,0.35,0.9136789231433888,1.2919014256912436,0.9150485615694789,1.286847854262672
1024,0.55,0.6,0.9075643748892237,1.2619141705069117,0.907878190358029,1.2605224654377873
