mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,n_folds,run_id,created_at,device,horizon,fold_step,lavar_retrain_cadence,quality_triggers,seed,scenario
0.9568526251957967,0.859591007232666,0.4056739646654863,0.3896889388561249,-0.17596129107410408,-0.025611860481172033,52,RUN_S04_GRU_H32_L1_SEED42,2026-04-02T11:55:53.192851,mps,14,14,90,True,42,S04_GRU_H32_L1
0.9522055547970992,0.8876727819442749,0.4063109279825137,0.39616936445236206,-0.16008550058188004,-0.03507885720858428,52,RUN_S04_GRU_H32_L1_SEED123,2026-04-02T11:57:59.977132,mps,14,14,90,True,123,S04_GRU_H32_L1
0.9659972145007207,0.8742799460887909,0.40931296463196093,0.3958813399076462,-0.18363766183979863,-0.04465544941895183,52,RUN_S04_GRU_H32_L1_SEED456,2026-04-02T11:59:59.346370,mps,14,14,90,True,456,S04_GRU_H32_L1
0.9456808280486327,0.8605991005897522,0.4054801074358133,0.39026498794555664,-0.15532942308039252,-0.0238699507871154,52,RUN_S04_GRU_H32_L1_SEED789,2026-04-02T12:02:19.248289,mps,14,14,90,True,789,S04_GRU_H32_L1
0.966479089970772,0.8626152276992798,0.40733560862449497,0.39026497304439545,-0.1878412021971695,-0.031007693872502573,52,RUN_S04_GRU_H32_L1_SEED1024,2026-04-02T12:04:45.169768,mps,14,14,90,True,1024,S04_GRU_H32_L1
0.9611895118768399,0.8947292566299438,0.40862615463825375,0.4025057554244995,-0.17146075241684453,-0.042363208223931026,52,RUN_S11_LATENT16_SEED42,2026-04-02T12:07:06.493334,mps,14,14,90,True,42,S11_LATENT16
0.9624689851815884,0.9121543765068054,0.4156770637402168,0.4000576138496399,-0.1672456537315594,-0.037928910483602585,52,RUN_S11_LATENT16_SEED123,2026-04-02T12:09:45.004576,mps,14,14,90,True,123,S11_LATENT16
0.9756125945311326,0.9508928656578064,0.4128578081727028,0.40092165768146515,-0.1836455810344095,-0.06517330152663448,52,RUN_S11_LATENT16_SEED456,2026-04-02T12:12:15.971469,mps,14,14,90,True,456,S11_LATENT16
0.9647952822538522,0.9004896581172943,0.4095400566091904,0.3898329436779022,-0.1789870266636355,-0.03648092476282172,52,RUN_S11_LATENT16_SEED789,2026-04-02T12:14:41.904043,mps,14,14,90,True,789,S11_LATENT16
0.9444069054264289,0.888248860836029,0.406842654141096,0.39746543765068054,-0.15185647207974465,-0.06508361163567689,52,RUN_S11_LATENT16_SEED1024,2026-04-02T12:17:16.901396,mps,14,14,90,True,1024,S11_LATENT16
