run_id,fold_id,t_end,mse,rmse,mae,naive_mse,skill_vs_naive,worst_h,worst_h_mse,stage1_signature,stage1_reused,full_refit,scenario,seed
RUN_S04_GRU_H32_L1_SEED42,0,730,0.8217166066169739,0.9064858555793762,0.33266130089759827,0.7736175060272217,-0.06217426598417708,5,1.2903225421905518,868fdafd0a74c029ed0f,False,True,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,1,744,0.42194700241088867,0.6495744585990906,0.2479838728904724,0.42252305150032043,0.001363355413121936,9,0.5120967626571655,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,2,758,1.4994239807128906,1.2245097160339355,0.3317972421646118,1.4199309349060059,-0.055983741076918614,9,2.262096881866455,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,3,772,0.8611751198768616,0.9279952049255371,0.36175113916397095,0.8024193644523621,-0.07322325211406056,11,1.5604838132858276,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,4,786,1.1990207433700562,1.0949980020523071,0.4254032373428345,1.02102530002594,-0.17433010067389532,11,1.7177419662475586,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,5,800,5.048675060272217,2.2469255924224854,1.131624460220337,0.6097350120544434,-7.280113427079073,13,11.693548202514648,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,6,814,0.6719470024108887,0.8197237253189087,0.35800692439079285,0.6411290168762207,-0.04806830563499176,12,1.0120967626571655,7dd2e36391d02db1fd6f,False,True,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,7,828,0.7874423861503601,0.88737952709198,0.3801843225955963,0.7687212228775024,-0.02435364435858811,6,1.100806474685669,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,8,842,0.6356566548347473,0.7972807884216309,0.31883639097213745,0.6140552759170532,-0.03517823193593417,6,0.899193525314331,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,9,856,0.6552419066429138,0.8094701170921326,0.3482142984867096,0.627592146396637,-0.04405689332639007,6,1.044354796409607,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,10,870,0.6468893885612488,0.8042943477630615,0.3104838728904724,0.6221198439598083,-0.03981474765984272,13,1.1411290168762207,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,11,884,1.0892857313156128,1.0436885356903076,0.4337557554244995,1.0645161867141724,-0.023268358819320767,13,1.8427419662475586,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,12,898,1.384792685508728,1.176772117614746,0.5201612710952759,1.2995392084121704,-0.06560285102957675,11,2.3790323734283447,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,13,912,0.9879032373428345,0.9939332008361816,0.4585253596305847,0.9205068945884705,-0.07321655399929927,13,1.794354796409607,c01e5dc8baa3136cb2df,False,True,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,14,926,1.110023021697998,1.0535763502120972,0.4625576138496399,1.0440667867660522,-0.06317242897481878,11,1.850806474685669,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,15,940,1.0025922060012817,1.0012952089309692,0.4254032373428345,0.9026497602462769,-0.1107211790847169,13,1.4717742204666138,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,16,954,0.6097350120544434,0.7808552980422974,0.3320852518081665,0.5169931054115295,-0.17938712464857876,12,1.0725806951522827,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,17,968,1.0020161867141724,1.0010075569152832,0.444988489151001,0.9593893885612488,-0.044431175350864605,10,1.5403225421905518,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,18,982,0.6722350120544434,0.8198993802070618,0.3093318045139313,0.586693525314331,-0.14580267729097907,13,1.173387050628662,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,19,996,1.0846774578094482,1.0414785146713257,0.4625576138496399,0.9579492807388306,-0.13229111354713585,12,1.9032257795333862,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,20,1010,1.0495392084121704,1.0244702100753784,0.40668201446533203,1.0365782976150513,-0.012503552145495922,13,2.274193525314331,7d84acbea7a678047de2,False,True,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,21,1024,0.711693525314331,0.8436192870140076,0.3568548262119293,0.6952764987945557,-0.02361222700355703,12,0.9879032373428345,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,22,1038,0.8372696042060852,0.9150243997573853,0.3752880096435547,0.8280529975891113,-0.01113045498755283,13,1.6774193048477173,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,23,1052,0.7249423861503601,0.8514354825019836,0.3626151978969574,0.713421642780304,-0.01614857565178185,12,1.4395161867141724,,False,False,S04_GRU_H32_L1,42
RUN_S04_GRU_H32_L1_SEED42,24,1066,0.6365207433700562,0.7978224754333496,0.3467741906642914,0.6261520981788635,-0.01655930758892188,12,1.100806474685669,,False,False,S04_GRU_H32_L1,42
