run_id,fold_id,t_end,fit_fold_id,fit_t_end,mse_recalc,mae_recalc,naive_mse_recalc,skill_recalc,mse_saved,mae_saved,skill_saved,stage1_signature_ckpt
RUN_S11_LATENT16_E05_CAP_200_300,0,730,0,730,31.422618865966797,1.6815476417541504,31.675594329833984,0.007986447270191266,31.422618865966797,1.6815476417541504,0.0079864472701912,a9ed30a3dc288e7f7786
RUN_S11_LATENT16_E05_CAP_200_300,1,744,0,730,20.6324405670166,1.358630895614624,20.769344329833984,0.006591626612917567,20.6324405670166,1.358630895614624,0.0065916266129175,a9ed30a3dc288e7f7786
RUN_S11_LATENT16_E05_CAP_200_300,2,758,0,730,17.53125,1.367559552192688,18.230655670166016,0.038364263075330585,17.53125,1.367559552192688,0.0383642630753305,a9ed30a3dc288e7f7786
RUN_S11_LATENT16_E05_CAP_200_300,3,772,0,730,6.105654716491699,0.8497023582458496,6.452381134033203,0.05373619603973623,6.105654716491699,0.8497023582458496,0.0537361960397362,a9ed30a3dc288e7f7786
RUN_S11_LATENT16_E05_CAP_200_300,4,786,0,730,1.9821428060531616,0.4702380895614624,2.4017856121063232,0.17472117575271107,1.9821428060531616,0.4702380895614624,0.174721175752711,a9ed30a3dc288e7f7786
RUN_S11_LATENT16_E05_CAP_200_300,5,800,0,730,4.33779764175415,0.6770833134651184,4.436011791229248,0.022140191256768915,4.33779764175415,0.6770833134651184,0.0221401912567689,a9ed30a3dc288e7f7786
RUN_S11_LATENT16_E05_CAP_200_300,6,814,0,730,3.154761791229248,0.6398809552192688,3.5848214626312256,0.11996683123134333,3.154761791229248,0.6398809552192688,0.1199668312313433,a9ed30a3dc288e7f7786
RUN_S11_LATENT16_E05_CAP_200_300,7,828,7,828,5.538690567016602,0.7053571343421936,7.114583492279053,0.2215017824968467,5.538690567016602,0.7053571343421936,0.2215017824968467,294902b729ab2de632a9
RUN_S11_LATENT16_E05_CAP_200_300,8,842,7,828,4.083333492279053,0.5892857313156128,5.236607074737549,0.22023298024824534,4.083333492279053,0.5892857313156128,0.2202329802482453,294902b729ab2de632a9
RUN_S11_LATENT16_E05_CAP_200_300,9,856,7,828,10.666666984558105,0.925595223903656,11.553571701049805,0.07676454861236648,10.666666984558104,0.925595223903656,0.0767645486123664,294902b729ab2de632a9
RUN_S11_LATENT16_E05_CAP_200_300,10,870,7,828,2.7098214626312256,0.5252976417541504,3.6800594329833984,0.2636473644029188,2.7098214626312256,0.5252976417541504,0.2636473644029188,294902b729ab2de632a9
RUN_S11_LATENT16_E05_CAP_200_300,11,884,7,828,3.217261791229248,0.5892857313156128,3.5208332538604736,0.08622148245685024,3.217261791229248,0.5892857313156128,0.0862214824568502,294902b729ab2de632a9
RUN_S11_LATENT16_E05_CAP_200_300,12,898,7,828,2.3809523582458496,0.5148809552192688,3.2127976417541504,0.2589161771963089,2.3809523582458496,0.5148809552192688,0.2589161771963089,294902b729ab2de632a9
RUN_S11_LATENT16_E05_CAP_200_300,13,912,7,828,2.6785714626312256,0.5535714030265808,2.9375,0.0881458850617104,2.6785714626312256,0.5535714030265808,0.0881458850617104,294902b729ab2de632a9
