check,run_id,pass,detail
step_equals_14,RUN_S13_DYNP14_LATENT16_HLINEAR_E03_CAP_300_300,True,unique_steps=[14.0]
step_equals_14,RUN_S13_DYNP14_LATENT16_HLINEAR_E04_CAP_300_200,True,unique_steps=[14.0]
step_equals_14,RUN_S13_DYNP14_LATENT16_HLINEAR_E05_CAP_200_300,True,unique_steps=[14.0]
step_equals_14,RUN_S14_VAR_BASELINE_015_E01_CAP_100_100,True,unique_steps=[14.0]
step_equals_14,RUN_S14_VAR_BASELINE_015_E02_CAP_200_200,True,unique_steps=[14.0]
step_equals_14,RUN_S14_VAR_BASELINE_015_E03_CAP_300_300,True,unique_steps=[14.0]
step_equals_14,RUN_S14_VAR_BASELINE_015_E04_CAP_300_200,True,unique_steps=[14.0]
step_equals_14,RUN_S14_VAR_BASELINE_015_E05_CAP_200_300,True,unique_steps=[14.0]
step_equals_14,RUN_S15_GRU_LATENT_DYNAMICS_E01_CAP_100_100,True,unique_steps=[14.0]
step_equals_14,RUN_S15_GRU_LATENT_DYNAMICS_E02_CAP_200_200,True,unique_steps=[14.0]
step_equals_14,RUN_S15_GRU_LATENT_DYNAMICS_E03_CAP_300_300,True,unique_steps=[14.0]
step_equals_14,RUN_S15_GRU_LATENT_DYNAMICS_E04_CAP_300_200,True,unique_steps=[14.0]
step_equals_14,RUN_S15_GRU_LATENT_DYNAMICS_E05_CAP_200_300,True,unique_steps=[14.0]
step_equals_14,RUN_S16_REG_LATENT16_E01_CAP_100_100,True,unique_steps=[14.0]
step_equals_14,RUN_S16_REG_LATENT16_E02_CAP_200_200,True,unique_steps=[14.0]
step_equals_14,RUN_S16_REG_LATENT16_E03_CAP_300_300,True,unique_steps=[14.0]
step_equals_14,RUN_S16_REG_LATENT16_E04_CAP_300_200,True,unique_steps=[14.0]
step_equals_14,RUN_S16_REG_LATENT16_E05_CAP_200_300,True,unique_steps=[14.0]
step_equals_14,RUN_S17_GRU_DYNAMICS_REG_LATENT16_E01_CAP_100_100,True,unique_steps=[14.0]
step_equals_14,RUN_S17_GRU_DYNAMICS_REG_LATENT16_E02_CAP_200_200,True,unique_steps=[14.0]
step_equals_14,RUN_S17_GRU_DYNAMICS_REG_LATENT16_E03_CAP_300_300,True,unique_steps=[14.0]
step_equals_14,RUN_S17_GRU_DYNAMICS_REG_LATENT16_E04_CAP_300_200,True,unique_steps=[14.0]
step_equals_14,RUN_S17_GRU_DYNAMICS_REG_LATENT16_E05_CAP_200_300,True,unique_steps=[14.0]
non_overlap_window,RUN_S11_LATENT16_E05_CAP_200_300,True,"horizon=14, fold_step=14"
context_pre_t_end,RUN_S11_LATENT16_E05_CAP_200_300,True,"predict windows use [t_end-7, t_end)"
train_end_le_eval_start,RUN_S11_LATENT16_E05_CAP_200_300,True,all fit_t_end <= t_end
non_overlap_window,RUN_S04_GRU_H32_L1_E02_CAP_200_200,True,"horizon=14, fold_step=14"
context_pre_t_end,RUN_S04_GRU_H32_L1_E02_CAP_200_200,True,"predict windows use [t_end-7, t_end)"
train_end_le_eval_start,RUN_S04_GRU_H32_L1_E02_CAP_200_200,True,all fit_t_end <= t_end
non_overlap_window,RUN_S16_REG_LATENT16_E05_CAP_200_300,True,"horizon=14, fold_step=14"
context_pre_t_end,RUN_S16_REG_LATENT16_E05_CAP_200_300,True,"predict windows use [t_end-7, t_end)"
train_end_le_eval_start,RUN_S16_REG_LATENT16_E05_CAP_200_300,True,all fit_t_end <= t_end
non_overlap_window,RUN_S16_REG_LATENT16_E02_CAP_200_200,True,"horizon=14, fold_step=14"
context_pre_t_end,RUN_S16_REG_LATENT16_E02_CAP_200_200,True,"predict windows use [t_end-7, t_end)"
train_end_le_eval_start,RUN_S16_REG_LATENT16_E02_CAP_200_200,True,all fit_t_end <= t_end
metric_recompute_consistency,RUN_S04_GRU_H32_L1_E02_CAP_200_200,True,"median_abs_mse_diff=0.000000, median_abs_skill_diff=0.000000"
metric_recompute_consistency,RUN_S11_LATENT16_E05_CAP_200_300,True,"median_abs_mse_diff=0.000000, median_abs_skill_diff=0.000000"
metric_recompute_consistency,RUN_S16_REG_LATENT16_E02_CAP_200_200,True,"median_abs_mse_diff=0.000000, median_abs_skill_diff=0.000000"
metric_recompute_consistency,RUN_S16_REG_LATENT16_E05_CAP_200_300,True,"median_abs_mse_diff=0.000000, median_abs_skill_diff=0.000000"
