mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,n_folds,run_id,created_at,device,horizon,fold_step,lavar_retrain_cadence,quality_triggers,seed,scenario
5.792948714586404,4.309523820877075,0.7667124537321237,0.7217261791229248,0.08496608890683377,0.14657587346355339,130,RUN_S04_GRU_H32_L1_SEED42,2026-04-01T14:46:14.322783,mps,14,14,90,True,42,S04_GRU_H32_L1
5.927804475564223,3.961309552192688,0.7745764659001277,0.6979166865348816,0.0218946838497479,0.09807719484913757,130,RUN_S04_GRU_H32_L1_SEED123,2026-04-01T14:56:53.217387,mps,14,14,90,True,123,S04_GRU_H32_L1
6.047126826873193,4.29092264175415,0.7730196870290316,0.699404776096344,-0.057121380473340366,0.1367284094199338,130,RUN_S04_GRU_H32_L1_SEED456,2026-04-01T15:07:47.484878,mps,14,14,90,True,456,S04_GRU_H32_L1
7.038278361467214,4.0699403285980225,0.7892857159559543,0.7239583432674408,-0.2914378084383802,0.10801551044326191,130,RUN_S04_GRU_H32_L1_SEED789,2026-04-01T15:18:06.137365,mps,14,14,90,True,789,S04_GRU_H32_L1
5.933940049318167,4.122023820877075,0.7729510100988242,0.7008928656578064,0.07416003882724943,0.06323778942621339,130,RUN_S04_GRU_H32_L1_SEED1024,2026-04-01T15:28:55.114631,mps,14,14,90,True,1024,S04_GRU_H32_L1
5.292845657238593,3.804315447807312,0.7374656606179018,0.6815476417541504,0.11632197247997575,0.1637405284785433,130,RUN_S11_LATENT16_SEED42,2026-04-01T15:38:47.883575,mps,14,14,90,True,42,S11_LATENT16
6.044734413807209,4.183779716491699,0.7683150176818554,0.6897321343421936,-0.04351114638216936,0.12916135554633196,130,RUN_S11_LATENT16_SEED123,2026-04-01T15:49:57.076711,mps,14,14,90,True,123,S11_LATENT16
5.407394646681272,3.765625,0.7322573244571686,0.6488095223903656,0.1566850438986802,0.1998400583678968,130,RUN_S11_LATENT16_SEED456,2026-04-01T16:01:21.441128,mps,14,14,90,True,456,S11_LATENT16
5.538026565771837,3.9866071939468384,0.7465430408716202,0.6897321343421936,0.08959557163386986,0.19013081432776258,130,RUN_S11_LATENT16_SEED789,2026-04-01T16:11:25.865231,mps,14,14,90,True,789,S11_LATENT16
5.629727559823256,4.184523820877075,0.7552999081519934,0.6941964030265808,0.08583774229280786,0.15220658489719724,130,RUN_S11_LATENT16_SEED1024,2026-04-01T16:22:28.155209,mps,14,14,90,True,1024,S11_LATENT16
