scenario,seed,run_id,n_folds,mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,max_fold_mse,p95_fold_mse,p90_fold_mse,min_fold_skill
S04_GRU_H32_L1,42,RUN_S04_GRU_H32_L1_SEED42,130,5.792948714586404,4.309523820877075,0.7667124537321237,0.7217261791229248,0.08496608890683376,0.14657587346355336,51.136905670166016,13.461681270599364,8.966219997406009,-1.848812123006145
S04_GRU_H32_L1,123,RUN_S04_GRU_H32_L1_SEED123,130,5.927804475564223,3.961309552192688,0.7745764659001277,0.6979166865348816,0.021894683849747867,0.09807719484913749,47.375,12.711904811859124,9.87098207473755,-11.32591695186048
S04_GRU_H32_L1,456,RUN_S04_GRU_H32_L1_SEED456,130,6.047126826873193,4.29092264175415,0.7730196870290316,0.699404776096344,-0.057121380473340366,0.13672840941993375,46.967262268066406,17.962277030944822,9.737350940704347,-11.34337152816591
S04_GRU_H32_L1,789,RUN_S04_GRU_H32_L1_SEED789,130,7.038278361467214,4.0699403285980225,0.7892857159559543,0.7239583432674408,-0.2914378084383802,0.10801551044326185,193.1398773193359,16.580580949783315,8.829463958740234,-52.4775442960863
S04_GRU_H32_L1,1024,RUN_S04_GRU_H32_L1_SEED1024,130,5.933940049318167,4.122023820877075,0.7729510100988242,0.7008928656578064,0.07416003882724943,0.06323778942621336,60.681549072265625,13.679166698455811,9.568750000000003,-1.2697397964589716
S11_LATENT16,42,RUN_S11_LATENT16_SEED42,130,5.292845657238593,3.804315447807312,0.7374656606179018,0.6815476417541504,0.11632197247997574,0.16374052847854326,30.870534896850582,11.188988208770752,9.486755752563479,-5.737123897012565
S11_LATENT16,123,RUN_S11_LATENT16_SEED123,130,6.044734413807209,4.183779716491699,0.7683150176818554,0.6897321343421936,-0.04351114638216938,0.1291613555463319,48.537200927734375,15.351190614700304,9.01651754379273,-12.43922523223585
S11_LATENT16,456,RUN_S11_LATENT16_SEED456,130,5.407394646681272,3.765625,0.7322573244571686,0.6488095223903656,0.15668504389868018,0.1998400583678968,48.550594329833984,13.317485046386718,8.54702377319336,-1.0035197676930765
S11_LATENT16,789,RUN_S11_LATENT16_SEED789,130,5.538026565771837,3.9866071939468384,0.7465430408716202,0.6897321343421936,0.08959557163386984,0.19013081432776255,39.480655670166016,15.51227707862853,9.049404907226567,-6.413168528868418
S11_LATENT16,1024,RUN_S11_LATENT16_SEED1024,130,5.629727559823256,4.184523820877075,0.7552999081519934,0.6941964030265808,0.08583774229280784,0.1522065848971972,44.087799072265625,14.653571367263792,8.66994075775147,-2.801944549078554
