fold_id,t_end,mse_s11,mae_s11,skill_s11,naive_mse,mse_s04,mae_s04,skill_s04,mse_blend,mae_blend,skill_blend,blend_best_mse,s11_best_mse
0,730,31.422619047619047,1.681547619047619,0.007986441535421163,31.675594329833984,31.425595238095237,1.7410714285714286,0.007892483062370892,31.148467261904763,1.6793154761904763,0.016641426280445293,True,False
1,744,20.632440476190474,1.3586309523809523,0.0065916309860034605,20.769344329833984,19.790178571428573,1.3229166666666667,0.04714476022234826,20.15250744047619,1.341220238095238,0.029699391543706266,False,False
2,758,17.53125,1.3675595238095237,0.038364263075330585,18.230655670166016,19.03720238095238,1.4657738095238095,-0.04424123440092487,18.053504464285716,1.4044642857142857,0.009717215282070368,False,True
3,772,6.105654761904762,0.8497023809523809,0.05373618900154964,6.452381134033203,6.778273809523809,0.9508928571428571,-0.050507350499132686,6.2558556547619055,0.8952380952380953,0.030457822498227927,False,True
4,786,1.9821428571428572,0.47023809523809523,0.174721154481164,2.4017856121063232,2.075892857142857,0.49255952380952384,0.1356876955714894,1.9503013392857143,0.4732886904761905,0.1879785899894143,True,False
5,800,4.337797619047619,0.6770833333333334,0.022140196375450505,4.436011791229248,4.1711309523809526,0.6651785714285714,0.0597114821407847,4.183244047619048,0.6638392857142857,0.056980854764625666,False,False
6,814,3.1547619047619047,0.6398809523809523,0.11996679956096368,3.5848214626312256,3.6547619047619047,0.7023809523809523,-0.019510160508619423,3.2891592261904763,0.6636904761904762,0.0824761398922601,False,True
7,828,5.538690476190476,0.7053571428571429,0.22150179526303682,7.114583492279053,6.232142857142857,0.7857142857142857,0.12403264872692066,5.662909226190476,0.7355654761904762,0.2040420591962937,False,True
8,842,4.083333333333333,0.5892857142857143,0.2202330106010515,5.236607074737549,3.8839285714285716,0.5892857142857143,0.25831201081222455,3.867641369047619,0.575,0.26142226944887603,True,False
9,856,10.666666666666666,0.9255952380952381,0.07676457612692622,11.553571701049805,9.547619047619047,0.8958333333333334,0.17362186389932455,9.993675595238095,0.8995535714285714,0.13501418835440915,False,False
10,870,2.7098214285714284,0.5252976190476191,0.26364737365814905,3.6800594329833984,2.8526785714285716,0.5610119047619048,0.22482812482299364,2.567120535714286,0.5275297619047619,0.3024241639398907,True,False
11,884,3.2172619047619047,0.5892857142857143,0.08622145021088778,3.5208332538604736,2.8125,0.5892857142857143,0.2011834139216364,2.671235119047619,0.5620535714285714,0.24130598456524432,True,False
12,898,2.380952380952381,0.5148809523809523,0.25891617012878265,3.2127976417541504,3.2886904761904763,0.5982142857142857,-0.023622040009618983,2.419657738095238,0.5263392857142857,0.24686892611943867,False,True
13,912,2.6785714285714284,0.5535714285714286,0.08814589665653505,2.9375,3.2023809523809526,0.5863095238095238,-0.09017223910840944,2.5113616071428573,0.5504464285714286,0.14506838905775077,True,False
14,926,4.197916666666667,0.6770833333333334,0.0024752852005425208,4.208333492279053,2.886904761904762,0.5625,0.3140028547639322,2.875405505952381,0.5539434523809523,0.3167353511246598,True,False
15,940,5.319940476190476,0.8050595238095238,0.05298011713867379,5.617559432983398,2.7544642857142856,0.5877976190476191,0.5096688662443875,3.5540922619047626,0.640625,0.3673244930820003,False,False
16,954,2.355654761904762,0.5401785714285714,0.28143441011448955,3.278273820877075,2.549107142857143,0.5818452380952381,0.22242397001018355,2.2371949404761904,0.5467261904761904,0.3175692261491301,True,False
17,968,2.7648809523809526,0.5297619047619048,0.1519854154673047,3.2604167461395264,4.254464285714286,0.7127976190476191,-0.30488358298114937,3.006856398809524,0.6009672619047619,0.07776930591165332,False,True
18,982,3.869047619047619,0.6041666666666666,0.08771925428677363,4.2410712242126465,2.5044642857142856,0.5163690476190477,0.40947365575563077,2.8715811011904764,0.5398065476190477,0.3229113708828164,False,False
19,996,3.636904761904762,0.6101190476190477,0.20104612139178846,4.552083492279053,4.815476190476191,0.6994047619047619,-0.05786200948288567,3.869672619047619,0.6446428571428571,0.1499117655440404,False,True
20,1010,4.904761904761905,0.7589285714285714,0.12200318231521756,5.586309432983398,6.313988095238095,0.8586309523809523,-0.1302610732513747,4.684081101190476,0.7593005952380952,0.161507045504116,True,False
21,1024,2.669642857142857,0.5446428571428571,0.0685358366144978,2.8660714626312256,2.8363095238095237,0.5773809523809523,0.01038422775208081,2.693080357142857,0.5566964285714286,0.06035826661822041,False,True
22,1038,2.5654761904761907,0.5595238095238095,0.18371210351955747,3.142857074737549,3.0610119047619047,0.6026785714285714,0.026041645556687865,2.741692708333333,0.5749255952380952,0.12764321025884262,False,True
