label,w,mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,max_fold_mse,p95_fold_mse,p90_fold_mse,min_fold_skill
S04 pure,0.0,5.476236263736263,3.886904761904762,0.7421245421245422,0.6748511904761905,0.09471882526519627,0.16886037276867488,38.007440476190474,11.741220238095233,9.388244047619049,-7.478686162494302
S11 pure,1.0,5.278021978021978,4.026041666666667,0.7340888278388279,0.6815476190476191,0.13588084698695527,0.19791222870382025,38.666666666666664,12.924702380952377,9.222916666666672,-3.7872007374520216
Blend (tune w*=0.55),0.55,4.996489697802198,3.6625409226190477,0.7198763736263736,0.6591145833333334,0.20347933594784762,0.24536610272470688,38.27167782738095,10.149279761904761,9.009146577380953,-1.2252444927750568
Blend (composite w*=0.50),0.5,5.002655677655677,3.677083333333333,0.719871794871795,0.6584821428571428,0.20229114798030193,0.2527210923389717,38.237723214285715,10.035863095238096,9.209709821428573,-1.521802954211434
