label,w,seed,n_folds,mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,max_fold_mse,p95_fold_mse,p90_fold_mse,min_fold_skill
blend_w0.50,0.5,42,130,5.102149152930403,3.7786458333333335,0.7291952838827839,0.6875,0.19317494292021145,0.22049310159952507,39.075520833333336,10.727362351190475,8.151078869047623,-1.3626906090463091
blend_w0.50,0.5,123,130,5.479518658424908,3.7410714285714284,0.7504750457875458,0.6822916666666666,0.10235352188161677,0.19605019693008874,39.657738095238095,11.47176339285714,8.522767857142872,-9.980634735333155
blend_w0.50,0.5,456,130,5.191600847069597,3.826636904761905,0.7297218406593408,0.6659226190476191,0.17181723259039397,0.20463125553567013,39.64174107142857,12.405617559523808,8.713392857142866,-2.0009271270587314
blend_w0.50,0.5,789,130,5.516237408424908,3.8718377976190474,0.7450778388278388,0.6692708333333333,0.10088596532016611,0.22518287424897065,44.234747023809526,16.308872767857135,8.546354166666669,-11.247940074440134
blend_w0.50,0.5,1024,130,5.373901098901099,3.6337425595238093,0.7408081501831502,0.6670386904761905,0.16749651838681184,0.17901431323006328,47.71577380952381,12.595740327380947,8.904799107142857,-0.962897318623898
blend_w0.55,0.55,42,130,5.081551482371794,3.7781677827380955,0.7282137133699634,0.68046875,0.19381742781108738,0.22118754422404796,38.035487351190476,10.586380766369047,8.131725446428574,-1.6381098561034553
blend_w0.55,0.55,123,130,5.490432663690476,3.7329166666666667,0.7507045558608059,0.6829613095238095,0.09795161273637108,0.19235727953324666,39.92747023809524,12.154759486607142,8.614019717261916,-10.055319532786307
blend_w0.55,0.55,456,130,5.164970839056776,3.7650520833333334,0.727987065018315,0.6672247023809523,0.18128719964854434,0.21112259987869558,40.45156622023809,12.254557663690473,8.575407366071426,-1.6763298815462133
blend_w0.55,0.55,789,130,5.448943967490843,3.889281994047619,0.7431627747252747,0.6739955357142857,0.11791956390729157,0.23045637094351384,43.33033110119048,16.39936625744047,8.54650967261905,-8.790287576499297
blend_w0.55,0.55,1024,130,5.362769803113553,3.6202362351190476,0.7403582875457875,0.6653645833333333,0.16720542704680214,0.18183318096666207,46.566517857142856,12.519464099702374,8.770924479166668,-1.0548959331954846
