seed,w_star_mse,w_star_comp,mse_at_w_star_mse,p95_at_w_star_mse,mse_at_w_star_comp,p95_at_w_star_comp
42,0.65,0.7,5.066801024496337,10.576153273809522,5.072648237179488,10.490481398809523
123,0.45,0.45,5.478739669184982,11.453763020833332,5.478739669184982,11.453763020833332
456,0.65,0.65,5.143850417811356,11.986480282738091,5.143850417811356,11.986480282738091
789,0.75,0.75,5.334153216575092,14.360677083333321,5.334153216575092,14.360677083333321
1024,0.6,0.6,5.359797161172161,12.456312499999992,5.359797161172161,12.456312499999992
