run_id,fold_id,t_end,mse,rmse,mae,naive_mse,skill_vs_naive,worst_h,worst_h_mse,stage1_signature,stage1_reused,full_refit
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,0,730,33.58481979370117,5.795241355895996,1.757440447807312,31.675594329833984,-0.06027433752265754,5,110.91666412353516,e1949264e9a7e8cd8f86,True,True
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,1,744,19.73214340209961,4.442087650299072,1.3422619104385376,20.769344329833984,0.04993903087467688,9,34.54166793823242,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,2,758,17.20535659790039,4.1479339599609375,1.3660714626312256,18.230655670166016,0.056240383824675,4,32.0,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,3,772,6.706845283508301,2.5897576808929443,0.9032738208770752,6.452381134033203,-0.03943724714786634,5,19.8125,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,4,786,3.077380895614624,1.754246473312378,0.5684523582458496,2.4017856121063232,-0.2812887545428402,12,15.729166984558105,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,5,800,4.644345283508301,2.15507435798645,0.694940447807312,4.436011791229248,-0.04696414303743812,0,15.0,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,6,814,4.010416507720947,2.0026023387908936,0.7157738208770752,3.5848214626312256,-0.11872140621958316,12,11.854166984558105,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,7,828,7.101190567016602,2.6648058891296387,0.8571428656578064,7.114583492279053,0.0018824609025933636,8,23.08333396911621,9e887dd574a3bcbbc39d,True,True
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,8,842,5.364583492279053,2.316157102584839,0.730654776096344,5.236607074737549,-0.02443880469071047,9,25.54166603088379,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,9,856,11.553571701049805,3.399054527282715,0.9910714030265808,11.553571701049805,0.0,0,55.0625,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,10,870,3.6964285373687744,1.922609806060791,0.6339285969734192,3.6800594329833984,-0.004448054354411868,5,14.208333015441895,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,11,884,3.7127976417541504,1.926862120628357,0.6741071343421936,3.5208332538604736,-0.05452243092830211,12,13.5,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,12,898,3.2544643878936768,1.8040133714675903,0.632440447807312,3.2127976417541504,-0.012968991759087833,7,9.229166984558105,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,13,912,2.9285714626312256,1.7113069295883179,0.5982142686843872,2.9375,0.003039502082987089,7,7.0625,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,14,926,4.2098212242126465,2.0517849922180176,0.6741071343421936,4.208333492279053,-0.000353520446115585,4,7.8125,c9eb72110bc58d5b3221,True,True
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,15,940,5.613095283508301,2.369197130203247,0.800595223903656,5.617559432983398,0.0007946777472235267,12,11.958333015441895,,False,False
RUN_S03_MLP_BASELINE_011_E01_CAP_100_100,16,954,3.1949405670166016,1.7874397039413452,0.668154776096344,3.278273820877075,0.025419857648797173,5,6.125,,False,False
