scenario,epoch_profile,n_folds,mean_mse,median_mse,mean_skill,median_skill,stage1_reuse_rate
S01_TS_LATENT_BASELINE_ALIAS,E01_CAP_100_100,130,10.558104397700383,5.088541746139526,-1.0195346997451884,-0.08225728036792784,0.0
S01_TS_LATENT_BASELINE_ALIAS,E02_CAP_200_200,130,8.268143350344438,5.395089149475098,-0.5171316050904827,-0.11211530939287515,0.0
S01_TS_LATENT_BASELINE_ALIAS,E03_CAP_300_300,130,14.428800537036015,5.114583253860474,-2.239297100649192,-0.02572587157658495,0.0
S01_TS_LATENT_BASELINE_ALIAS,E04_CAP_300_200,130,8.985634149954869,5.105654954910278,-0.7160960165975513,-0.02276932029164605,0.14615384615384616
S01_TS_LATENT_BASELINE_ALIAS,E05_CAP_200_300,130,12.946680238613716,5.457589387893677,-1.7413718536770644,-0.1640659067783413,0.17692307692307693
S02_MLP_BASELINE_008,E01_CAP_100_100,130,8.554429879555336,4.970237970352173,-0.48489526721597814,-0.06865706807122934,0.2076923076923077
S02_MLP_BASELINE_008,E02_CAP_200_200,130,10.008699560165406,5.139137029647827,-0.998899486528585,-0.1242947339109145,0.2153846153846154
S02_MLP_BASELINE_008,E03_CAP_300_300,130,14.67473652454523,5.090773820877075,-2.3118539303984584,-0.0238883398232455,0.17692307692307693
S02_MLP_BASELINE_008,E04_CAP_300_200,130,11.423466014862061,5.014137029647827,-1.352123563894221,-0.04718442803861115,0.18461538461538463
S02_MLP_BASELINE_008,E05_CAP_200_300,130,15.285267659334036,5.497767686843872,-2.2478112950029834,-0.1690975727805049,0.2
S03_MLP_BASELINE_011,E01_CAP_100_100,130,8.888667623813335,5.049107313156128,-0.5390629041434866,-0.05783606009106995,0.2230769230769231
S03_MLP_BASELINE_011,E02_CAP_200_200,130,15.42588134270448,5.741071462631226,-2.4371283758688196,-0.12759972447339316,0.2230769230769231
S03_MLP_BASELINE_011,E03_CAP_300_300,130,15.445890819109403,4.929315567016602,-2.5017682293060672,-0.0310600207444046,0.16153846153846155
S03_MLP_BASELINE_011,E04_CAP_300_200,130,10.10366303553948,4.999255895614624,-1.0103111625714833,-0.046765874099247554,0.2
S03_MLP_BASELINE_011,E05_CAP_200_300,130,16.888049334746142,5.741815567016602,-2.8428544895723924,-0.15189342102402145,0.2230769230769231
S04_GRU_H32_L1,E01_CAP_100_100,130,5.467788480795347,4.122767925262451,0.12880887281924813,0.1369931559908044,0.038461538461538464
S04_GRU_H32_L1,E02_CAP_200_200,130,5.476236266356248,3.886904716491699,0.09471882255637551,0.16886036617183406,0.11538461538461539
S04_GRU_H32_L1,E03_CAP_300_300,130,5.8496222477692825,4.16592264175415,-0.016444407744837308,0.15442561723847836,0.1076923076923077
S04_GRU_H32_L1,E04_CAP_300_200,130,6.12077613885586,4.0312501192092896,0.010956551436145635,0.12361423599449466,0.1076923076923077
S04_GRU_H32_L1,E05_CAP_200_300,130,5.601018768090468,4.098214149475098,0.07585611494401363,0.16442243226159745,0.16153846153846155
S05_GRU_H64_L1,E01_CAP_100_100,130,5.752220692084386,4.123511791229248,0.0794605119105705,0.09318392510404086,0.11538461538461539
S05_GRU_H64_L1,E02_CAP_200_200,130,5.938221151095171,4.083333253860474,-0.028958333015818256,0.1532608072975698,0.16923076923076924
S05_GRU_H64_L1,E03_CAP_300_300,130,6.365934084928953,4.109375,-0.14370845533446044,0.11614172156873179,0.15384615384615385
S05_GRU_H64_L1,E04_CAP_300_200,130,6.4869047779303335,4.276041507720947,-0.0881397713211934,0.11871944686499461,0.13846153846153847
S05_GRU_H64_L1,E05_CAP_200_300,130,5.873614920102633,4.207589387893677,0.02729374771963,0.13811700123587384,0.14615384615384616
S06_GRU_H32_L2,E01_CAP_100_100,130,5.617296241796934,4.236607074737549,0.08255307658401798,0.0949883176745704,0.1
S06_GRU_H32_L2,E02_CAP_200_200,130,5.802358064284691,4.291666507720947,-0.020108723157209667,0.10448368027444925,0.14615384615384616
S06_GRU_H32_L2,E03_CAP_300_300,130,5.726236250767341,4.35342264175415,0.005659035766618878,0.1024453280794543,0.16153846153846155
S06_GRU_H32_L2,E04_CAP_300_200,130,5.753056307939382,4.220238208770752,0.003325757520169448,0.05701205623599065,0.16153846153846155
S06_GRU_H32_L2,E05_CAP_200_300,130,6.009523774110354,4.130208253860474,-0.04717010625483117,0.13862345064870304,0.16153846153846155
S07_GRU_H32_L1_LR1E4,E01_CAP_100_100,130,6.071783430759723,4.5855653285980225,0.018491608170234652,0.00612252294481355,0.14615384615384616
S07_GRU_H32_L1_LR1E4,E02_CAP_200_200,130,6.024404755922464,4.322916746139526,0.029450795223936947,0.0418785084588614,0.08461538461538462
S07_GRU_H32_L1_LR1E4,E03_CAP_300_300,130,6.0934065818786625,4.2894346714019775,0.028065229629914184,0.08477982477480189,0.12307692307692308
S07_GRU_H32_L1_LR1E4,E04_CAP_300_200,130,6.013060853114495,4.317708253860474,0.04973990112433172,0.0563692647913317,0.14615384615384616
S07_GRU_H32_L1_LR1E4,E05_CAP_200_300,130,5.796840663139637,4.315476179122925,0.07780664372431206,0.08786881296951395,0.14615384615384616
S08_GRU_BASELINE_013,E01_CAP_100_100,130,5.645215227053716,3.957589268684387,0.11112082123047519,0.11582554890842785,0.15384615384615385
S08_GRU_BASELINE_013,E02_CAP_200_200,130,5.646405631762285,4.206845045089722,0.0672519228657582,0.16622393886199072,0.16153846153846155
S08_GRU_BASELINE_013,E03_CAP_300_300,130,6.117662516007057,4.283482074737549,-0.016493706047855737,0.11295644583956785,0.15384615384615385
S08_GRU_BASELINE_013,E04_CAP_300_200,130,5.5852793152515705,4.055059432983398,0.07004507702434258,0.1327389729150409,0.15384615384615385
S08_GRU_BASELINE_013,E05_CAP_200_300,130,6.162225284484717,4.308779716491699,-0.02426430227207317,0.09709325392515289,0.15384615384615385
S09_HORIZON_LINEAR,E01_CAP_100_100,130,5.754796227125021,4.324404716491699,0.084153977783677,0.0499817910690752,0.13076923076923078
S09_HORIZON_LINEAR,E02_CAP_200_200,130,5.829510090901302,4.151785850524902,0.08878351801455486,0.1156227515188398,0.15384615384615385
S09_HORIZON_LINEAR,E03_CAP_300_300,130,5.792261895766625,4.316964387893677,0.08577224235774832,0.11800594634067454,0.11538461538461539
S09_HORIZON_LINEAR,E04_CAP_300_200,130,6.178044870266548,3.9910714626312256,0.0062960827772129335,0.11661580926872825,0.16153846153846155
S09_HORIZON_LINEAR,E05_CAP_200_300,130,5.925434994697571,4.1168153285980225,0.03546568322118079,0.1066774377602109,0.16923076923076924
S10_DYNP14,E01_CAP_100_100,130,6.390109914999742,4.939732074737549,-0.04132055054030326,-0.03191583348075305,0.0
S10_DYNP14,E02_CAP_200_200,130,6.3509386521119335,4.879464387893677,-0.04214054983065368,-0.01519583592773195,0.0
S10_DYNP14,E03_CAP_300_300,130,6.311046265638792,4.934523820877075,-0.03260148026602792,-0.02299065209244375,0.0
S10_DYNP14,E04_CAP_300_200,130,6.324267402062049,4.932291507720947,-0.03060435689840392,-0.02274592071803255,0.05384615384615385
S10_DYNP14,E05_CAP_200_300,130,6.368498182296753,4.969494104385376,-0.03652135235393473,-0.02633918769503425,0.05384615384615385
S11_LATENT16,E01_CAP_100_100,130,5.527667089608999,4.054315567016602,0.1304529367026993,0.1340900229304842,0.0
S11_LATENT16,E02_CAP_200_200,130,5.476568214709943,4.145833253860474,0.13003104396507448,0.16068422372287036,0.0
S11_LATENT16,E03_CAP_300_300,130,5.904693229381855,4.114583253860474,0.05449945402944494,0.10608088972399216,0.0
S11_LATENT16,E04_CAP_300_200,130,5.596840686981494,4.034970283508301,0.08295729784498032,0.13595429389701405,0.11538461538461539
S11_LATENT16,E05_CAP_200_300,130,5.278021999047353,4.026041507720947,0.13588084390911223,0.1979122107518154,0.1
S12_DYNP14_LATENT16,E01_CAP_100_100,130,6.367559514595912,4.929315567016602,-0.036339046138614904,-0.0237923313965091,0.0
S12_DYNP14_LATENT16,E02_CAP_200_200,130,6.359535276889801,4.933035850524902,-0.04168074554990873,-0.03124749533447615,0.0
S12_DYNP14_LATENT16,E03_CAP_300_300,130,6.353308123808641,4.762648820877075,-0.03251481258447093,-0.0194227883168245,0.0
S12_DYNP14_LATENT16,E04_CAP_300_200,130,6.325297636252183,4.836309432983398,-0.03212759435994756,-0.0176254730003595,0.15384615384615385
S12_DYNP14_LATENT16,E05_CAP_200_300,130,6.357543536332938,4.885416746139526,-0.037721975114674906,-0.0173746142045655,0.03076923076923077
S13_DYNP14_LATENT16_HLINEAR,E01_CAP_100_100,130,6.365075557048504,4.948660850524902,-0.04250081866583219,-0.02499140334818145,0.15384615384615385
S13_DYNP14_LATENT16_HLINEAR,E02_CAP_200_200,130,6.345032024383545,4.799107074737549,-0.03393729180788337,-0.02071578358063855,0.14615384615384616
S13_DYNP14_LATENT16_HLINEAR,E03_CAP_300_300,130,6.316231726683103,4.863095283508301,-0.02944172804423004,-0.01089023327476675,0.15384615384615385
