fold_id,t_end,mse,mae,skill_vs_naive,mode,target_granularity,aux_source,run_type
0,730,538.3869018554688,6.601190567016602,0.005817383195308334,S2_gru_h32,drug,none,manual
1,744,274.7991027832031,4.873511791229248,-0.01359581910242813,S2_gru_h32,drug,none,manual
2,758,231.5416717529297,5.05654764175415,-0.010448946585224217,S2_gru_h32,drug,none,manual
3,772,80.23065185546875,3.123511791229248,-0.0014673469589880916,S2_gru_h32,drug,none,manual
4,786,51.5163688659668,2.1502976417541504,-0.0073619203561865465,S2_gru_h32,drug,none,manual
5,800,49.63839340209961,2.534226179122925,0.002690780581589669,S2_gru_h32,drug,none,manual
6,814,40.00893020629883,2.2767856121063232,0.0011144971005646598,S2_gru_h32,drug,none,manual
7,828,100.33184814453125,3.311011791229248,-0.02586613818504624,S2_gru_h32,drug,none,manual
8,842,104.37946319580078,3.986607074737549,-0.4059812155941831,S2_gru_h32,drug,none,manual
9,856,215.75,5.55654764175415,-0.0008076171104973717,S2_gru_h32,drug,none,manual
10,870,64.94047546386719,3.25,-0.6554130224255086,S2_gru_h32,drug,none,manual
11,884,64.94493865966797,2.840773820877075,0.031296458142721195,S2_gru_h32,drug,none,manual
12,898,49.74553680419922,2.6026785373687744,-0.0296301162348358,S2_gru_h32,drug,none,manual
13,912,41.75297546386719,2.261904716491699,-0.062159259277948964,S2_gru_h32,drug,none,manual
14,926,57.6086311340332,2.674107074737549,-0.03196138754094657,S2_gru_h32,drug,none,manual
15,940,49.074405670166016,2.622023820877075,0.014375817343241115,S2_gru_h32,drug,none,manual
16,954,48.27083206176758,2.6339285373687744,0.03901648469945129,S2_gru_h32,drug,none,manual
17,968,68.31993865966797,3.1979167461395264,0.05583439982303551,S2_gru_h32,drug,none,manual
18,982,31.983631134033203,1.9866071939468384,0.13170116446443247,S2_gru_h32,drug,none,manual
19,996,71.27232360839844,2.5997023582458496,0.18072184973028682,S2_gru_h32,drug,none,manual
20,1010,67.95833587646484,2.577380895614624,-0.09243140949331363,S2_gru_h32,drug,none,manual
21,1024,114.99256134033203,3.465773820877075,0.12436257302059517,S2_gru_h32,drug,none,manual
22,1038,50.8273811340332,2.7916667461395264,0.14977721051277448,S2_gru_h32,drug,none,manual
23,1052,69.77381134033203,2.717261791229248,0.025238054989559444,S2_gru_h32,drug,none,manual
24,1066,56.85268020629883,2.513392925262451,0.0928840745820313,S2_gru_h32,drug,none,manual
25,1080,84.58333587646484,3.2559523582458496,0.033776954045758534,S2_gru_h32,drug,none,manual
26,1094,65.56845092773438,3.029761791229248,-0.10683513700970826,S2_gru_h32,drug,none,manual
27,1108,54.3601188659668,2.702380895614624,-0.07409585442648936,S2_gru_h32,drug,none,manual
28,1122,60.24702453613281,2.7113094329833984,-0.006688738091565449,S2_gru_h32,drug,none,manual
29,1136,76.95237731933594,2.565476179122925,0.08956150240420413,S2_gru_h32,drug,none,manual
30,1150,45.43452453613281,2.345238208770752,-0.06602422078495129,S2_gru_h32,drug,none,manual
31,1164,87.4047622680664,3.3035714626312256,0.021718846052984686,S2_gru_h32,drug,none,manual
32,1178,71.09375,3.186011791229248,-0.13796062957124744,S2_gru_h32,drug,none,manual
33,1192,28.988094329833984,1.913690447807312,0.011117334327891304,S2_gru_h32,drug,none,manual
34,1206,34.974700927734375,1.882440447807312,0.0389286795847158,S2_gru_h32,drug,none,manual
35,1220,34.931549072265625,1.625,0.14521877810599382,S2_gru_h32,drug,none,manual
36,1234,40.29166793823242,1.9315476417541504,0.1585555370111974,S2_gru_h32,drug,none,manual
37,1248,18.264881134033203,1.3630952835083008,-0.01715428382298989,S2_gru_h32,drug,none,manual
38,1262,22.702381134033203,1.7232142686843872,-0.10470679191381826,S2_gru_h32,drug,none,manual
39,1276,18.157737731933594,1.4732142686843872,0.2561570746614087,S2_gru_h32,drug,none,manual
40,1290,32.91666793823242,1.9047619104385376,0.11721268641141502,S2_gru_h32,drug,none,manual
41,1304,31.889881134033203,1.8809523582458496,0.15453504864203604,S2_gru_h32,drug,none,manual
42,1318,21.9375,1.735119104385376,-0.051647890453344836,S2_gru_h32,drug,none,manual
43,1332,25.4300594329834,1.8348214626312256,0.025434848077282912,S2_gru_h32,drug,none,manual
44,1346,17.056547164916992,1.422619104385376,0.04267943130774876,S2_gru_h32,drug,none,manual
45,1360,23.842262268066406,1.5595238208770752,0.2053761936397991,S2_gru_h32,drug,none,manual
46,1374,34.206844329833984,2.0372023582458496,0.01907489499525894,S2_gru_h32,drug,none,manual
47,1388,22.720237731933594,1.6577380895614624,0.052383335524984864,S2_gru_h32,drug,none,manual
48,1402,25.73958396911621,1.6889880895614624,-0.04129796082391746,S2_gru_h32,drug,none,manual
49,1416,27.28125,1.867559552192688,0.0532431077110288,S2_gru_h32,drug,none,manual
50,1430,23.404762268066406,1.6071428060531616,0.024317565778540717,S2_gru_h32,drug,none,manual
51,1444,31.943452835083008,1.8065476417541504,0.025910981048281267,S2_gru_h32,drug,none,manual
