bucket,n_targets,valid_targets,positive_targets,negative_targets,mean_drug_skill,median_drug_skill,mean_nonzero_rate,median_nonzero_rate,mean_total_y,mean_row_skill,median_row_skill,mean_row_mse,mean_row_naive_mse,mean_row_mae,positive_target_share
dense,98,97,5,92,-0.18769777644909408,-0.09842608695652173,0.949363729064521,1.0,14504.357142857143,-0.06704442044579259,-0.06907361454106553,1.8834955287059878,1.7651519398968378,0.7580163713837184,0.05154639175257732
sparse,138,123,13,82,-1.327241371286475,-0.010330258302583028,0.23876836393575968,0.1704312114989733,886.9347826086956,-0.22123140783072065,-0.23007384740134396,0.3148137740882306,0.25778388278388276,0.18830725433986303,0.10569105691056911
ultra,12,3,0,0,0.0,0.0,0.001996349532283824,0.0017111567419575632,2.9166666666666665,0.0,0.0,0.0017170329670329672,0.0017170329670329672,0.0017170329670329672,0.0
