target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true
0,A01AD02,sparse,0.1594798083504449,0.17932922655715264,262.0
1,A02AA02,sparse,0.038329911019849415,0.5188227241615332,758.0
2,A02AA04,dense,0.9507186858316222,50.91649555099247,74389.0
3,A02AD03,dense,0.7611225188227242,1.999315537303217,2921.0
4,A02BA03,dense,1.0,17.326488706365502,25314.0
5,A02BC01,dense,1.0,48.65639972621492,71087.0
6,A02BC02,sparse,0.4941820670773443,0.7241615331964408,1058.0
7,A02BX14,dense,1.0,25.88911704312115,37824.0
8,A03AC05,sparse,0.5817932922655715,1.0109514031485285,1477.0
9,A03BB01,sparse,0.04791238877481177,0.05475701574264202,80.0
10,A03FA01,dense,0.7967145790554415,1.5270362765229295,2231.0
11,A03FA07,dense,1.0,10.373716632443532,15156.0
12,A03FA09,dense,1.0,21.94592744695414,32063.0
13,A04AA01,ultra,0.002053388090349076,0.002053388090349076,3.0
14,A04AD,dense,0.70362765229295,1.299110198494182,1898.0
15,A05AA02,dense,1.0,12.06091718001369,17621.0
16,A05BA03,dense,0.9849418206707734,4.333333333333333,6331.0
17,A05BA06,sparse,0.28952772073921973,0.2997946611909651,438.0
18,A06AB02,sparse,0.013689253935660506,0.014373716632443531,21.0
19,A06AD11,dense,0.9377138945927447,12.694045174537989,18546.0
20,A07AA09,sparse,0.18548939082819987,0.20396988364134155,298.0
21,A07AA11,sparse,0.09650924024640657,0.09924709103353867,145.0
22,A07BC05,sparse,0.6598220396988365,1.3949349760438057,2038.0
23,A07CA,sparse,0.08350444900752908,0.08350444900752908,122.0
24,A07DA03,sparse,0.5106091718001369,0.9664613278576317,1412.0
25,A10AB01,sparse,0.2327173169062286,0.2950034223134839,431.0
26,A10AB04,sparse,0.6789869952087612,1.0684462696783026,1561.0
27,A10AC01,sparse,0.040383299110198494,0.040383299110198494,59.0
28,A10AE04,dense,0.9685147159479809,2.5564681724845997,3735.0
29,A10BA02,dense,1.0,13.931553730321697,20354.0
30,A10BB09,dense,0.999315537303217,2.4914442162902124,3640.0
31,A10BB12,dense,0.7378507871321013,1.218343600273785,1780.0
32,A10BH,dense,1.0,16.026009582477755,23414.0
33,A10BK01,sparse,0.10403832991101986,0.10403832991101986,152.0
34,A10BK03,sparse,0.38329911019849416,0.7987679671457906,1167.0
35,A11CC04,sparse,0.11156741957563313,0.1218343600273785,178.0
36,A11DA01,dense,1.0,2.886379192334018,4217.0
37,A11EA,dense,0.8870636550308009,3.2580424366872007,4760.0
38,A11EB,sparse,0.3915126625598905,1.566050650239562,2288.0
39,A11GA01,sparse,0.1430527036276523,0.270362765229295,395.0
40,A11HA02,sparse,0.5811088295687885,0.6050650239561944,884.0
41,A12AX,dense,1.0,12.248459958932239,17895.0
42,A12BA01,sparse,0.5968514715947981,1.109514031485284,1621.0
43,B01AA03,sparse,0.3162217659137577,0.3162217659137577,462.0
44,B01AC,dense,1.0,5.737166324435318,8382.0
45,B01AC04,dense,1.0,12.78507871321013,18679.0
46,B01AC06,dense,1.0,20.553045859000683,30028.0
47,B01AF02,sparse,0.4736481861738535,4.97056810403833,7262.0
48,B02AA02,sparse,0.29842573579739906,0.33744010951403147,493.0
49,B03AA07,sparse,0.405886379192334,10.078713210130047,14725.0
50,B03AB,sparse,0.6036960985626283,17.701574264202602,25862.0
51,B03BA05,sparse,0.07802874743326489,0.08076659822039699,118.0
52,B03BB01,dense,1.0,7.107460643394935,10384.0
53,B05AA01,sparse,0.4811772758384668,0.9295003422313484,1358.0
54,B05BA01,sparse,0.03559206023271732,0.03696098562628337,54.0
55,B05BA03,dense,0.8713210130047913,2.293634496919918,3351.0
56,B05BA10,dense,0.945242984257358,4.322381930184805,6315.0
57,B05BB02,dense,1.0,9.163586584531142,13388.0
58,B05CB01,sparse,0.014373716632443531,0.014373716632443531,21.0
59,B05CX,sparse,0.0485968514715948,0.05475701574264202,80.0
60,B05XA01,sparse,0.17864476386036962,0.21492128678986996,314.0
61,B05XA02,sparse,0.03696098562628337,0.03764544832306639,55.0
62,B05XA03,dense,1.0,19.39835728952772,28341.0
