target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true,n_valid_seeds,positive_seed_count,negative_seed_count,mean_skill,median_skill,std_skill,mean_mse,mean_naive_mse,mean_delta_mse,mean_mae,mean_observed,max_observed,beats_naive
227,R03CC08,sparse,0.006160164271047228,0.006160164271047228,9.0,5,5,0,0.47058823529411764,0.47058823529411764,0.0,0.012362637362637362,0.023351648351648352,-0.01098901098901099,0.012362637362637362,0.012362637362637362,1.0,True
18,A06AB02,sparse,0.013689253935660506,0.014373716632443531,21.0,5,5,0,0.4,0.4,0.0,0.07005494505494506,0.11675824175824176,-0.046703296703296704,0.0673076923076923,0.028846153846153848,2.0,True
212,N06BA04,sparse,0.01163586584531143,0.01163586584531143,17.0,5,5,0,0.32000000000000006,0.32000000000000006,0.0,0.023351648351648352,0.034340659340659344,-0.010989010989010992,0.023351648351648352,0.023351648351648352,1.0,True
188,N04AA04,sparse,0.01026694045174538,0.01026694045174538,15.0,5,5,0,0.21052631578947367,0.21052631578947367,0.0,0.020604395604395604,0.0260989010989011,-0.005494505494505496,0.020604395604395604,0.020604395604395604,1.0,True
54,B05BA01,sparse,0.03559206023271732,0.03696098562628337,54.0,5,5,0,0.1632844827586206,0.16574999999999984,0.021544026211419626,0.3333070054945055,0.3983516483516483,-0.06504464285714281,0.3261126373626374,0.07417582417582418,2.0,True
39,A11GA01,sparse,0.1430527036276523,0.270362765229295,395.0,5,3,1,0.04581578947368423,0.06552631578947365,0.04563597584557731,0.29883791208791205,0.3131868131868132,-0.014348901098901112,0.19293956043956045,0.10714285714285714,4.0,True
3,A02AD03,dense,0.7611225188227242,1.999315537303217,2921.0,5,5,0,0.028193605683836533,0.028028419182948405,0.017000855473622224,0.751548076923077,0.7733516483516484,-0.021803571428571387,0.5143131868131868,1.342032967032967,6.0,True
57,B05BB02,dense,1.0,9.163586584531142,13388.0,5,4,1,0.014632338308457716,0.018843698175787682,0.013303887711604203,8.161767857142857,8.282967032967033,-0.12119917582417586,2.21771978021978,8.43956043956044,18.0,True
137,J01FA09,sparse,0.04106776180698152,0.044490075290896644,65.0,5,1,0,0.013948453608247435,0.0,0.031189690449043486,0.13138324175824176,0.13324175824175824,-0.0018585164835164842,0.1185989010989011,0.08928571428571429,2.0,True
143,J01XA02,sparse,0.11704312114989733,0.1697467488021903,248.0,5,1,1,0.010833333333333296,0.0,0.02961559273986141,0.044838598901098904,0.04532967032967033,-0.0004910714285714269,0.04517857142857142,0.09203296703296704,2.0,True
37,A11EA,dense,0.8870636550308009,3.2580424366872007,4760.0,5,4,1,0.009559021588433358,0.009814814814814832,0.029248145355562083,6.869143543956044,6.93543956043956,-0.06629601648351642,2.096936813186813,4.353021978021978,12.0,True
7,A02BX14,dense,1.0,25.88911704312115,37824.0,5,3,2,0.004688130873651409,0.013491124260355147,0.015241782702641284,3.9279271978021972,3.9464285714285716,-0.018501373626374207,1.3323901098901099,28.847527472527467,43.0,True
10,A03FA01,dense,0.7967145790554415,1.5270362765229295,2231.0,5,3,2,0.004570581896551662,0.012591594827585983,0.015957763989409363,1.2688990384615386,1.2747252747252746,-0.005826236263736151,0.7545741758241757,1.6978021978021978,6.0,True
53,B05AA01,sparse,0.4811772758384668,0.9295003422313484,1358.0,5,3,2,0.00406050531914901,0.002091090425532016,0.00706381972291936,2.05754532967033,2.065934065934066,-0.00838873626373644,0.8701373626373627,0.7252747252747253,6.0,True
240,S01AE01,sparse,0.030116358658453114,0.03148528405201916,46.0,5,1,0,0.003067307692307697,0.0,0.006858708507908018,0.07120947802197801,0.07142857142857142,-0.00021909340659340693,0.07127747252747252,0.03296703296703297,1.0,True
152,J05AB09,sparse,0.11293634496919917,0.12251882272416154,179.0,5,1,1,0.0010879120879121018,0.0,0.007521174523023126,0.24972802197802196,0.25,-0.00027197802197802544,0.2277197802197802,0.1620879120879121,2.0,True
61,B05XA02,sparse,0.03696098562628337,0.03764544832306639,55.0,5,1,1,0.00040243902439023315,0.0,0.035338077822653066,0.05629601648351649,0.05631868131868132,-2.2664835164835918e-05,0.05646978021978022,0.0260989010989011,2.0,True
130,J01DC04,sparse,0.3894592744695414,0.5845311430527036,854.0,5,1,0,0.000310311284046727,0.0,0.0006938771253137277,0.7058248626373627,0.7060439560439561,-0.00021909340659342913,0.5300686813186812,0.7939560439560439,4.0,True
146,J01XX01,sparse,0.024640657084188913,0.024640657084188913,36.0,5,0,0,0.0,0.0,0.0,0.04945054945054945,0.04945054945054945,0.0,0.04945054945054945,0.04945054945054945,1.0,False
43,B01AA03,sparse,0.3162217659137577,0.3162217659137577,462.0,5,0,0,0.0,0.0,0.0,0.04945054945054945,0.04945054945054945,0.0,0.04945054945054945,0.4230769230769231,1.0,False
