seed,fold_id,t_end,mse,mae,naive_mse,skill
42,0,730,0.8819045218894007,0.3590293778801843,0.7736175115207373,-0.13997486969471318
42,1,744,0.4448927131336405,0.2755040322580645,0.42252304147465436,-0.05294308111792767
42,2,758,1.6919635656682026,0.35761808755760366,1.419930875576037,-0.1915816430020283
42,3,772,0.8951540898617512,0.37727534562211984,0.8024193548387096,-0.11556891600861463
42,4,786,1.2218397177419356,0.4350662442396313,1.0210253456221199,-0.19667912552891398
42,5,800,2.9457250864055298,0.8257344470046083,0.6097350230414746,-3.8311561171469055
42,6,814,0.676691388248848,0.36038306451612906,0.6411290322580645,-0.05546832884097053
42,7,828,0.7949985599078342,0.3846198156682028,0.768721198156682,-0.0341832146871488
42,8,842,0.6304053859447004,0.31994527649769583,0.6140552995391705,-0.026626407129455965
42,9,856,0.6574200748847926,0.34900633640552997,0.6275921658986175,-0.04752753556677369
42,10,870,0.6448300691244241,0.3149193548387097,0.6221198156682027,-0.03650462962962986
42,11,884,1.1077880184331796,0.4407258064516129,1.064516129032258,-0.0406493506493506
42,12,898,1.3774265552995393,0.5182603686635945,1.2995391705069124,-0.05993461879432638
42,13,912,0.996449452764977,0.46090149769585254,0.9205069124423964,-0.08250078222778479
42,14,926,1.1129377880184332,0.4619815668202765,1.0440668202764978,-0.0659641379310345
42,15,940,0.9939746543778801,0.42445276497695855,0.9026497695852534,-0.10117421825143591
42,16,954,0.6843778801843318,0.3450748847926267,0.5169930875576036,-0.323766016713092
42,17,968,0.9672926267281104,0.43464861751152073,0.959389400921659,-0.008237766436505423
42,18,982,0.605853254608295,0.2901065668202765,0.5866935483870968,-0.032657093765341205
42,19,996,1.0001260080645162,0.44434043778801846,0.9579493087557603,-0.04402811184606148
42,20,1010,1.0382445276497696,0.4044642857142857,1.036578341013825,-0.0016073909419282995
42,21,1024,0.6883201324884792,0.35131048387096775,0.6952764976958525,0.010005178127589165
42,22,1038,0.8331905241935484,0.3746687788018433,0.8280529953917051,-0.00620434782608692
42,23,1052,0.7297501440092167,0.36467453917050696,0.7134216589861752,-0.022887565603552762
42,24,1066,0.6249092741935484,0.3410714285714286,0.6261520737327189,0.0019848206071757524
42,25,1080,1.0558438940092165,0.42203341013824885,1.0538594470046083,-0.001883028149767707
42,26,1094,0.9371234158986176,0.4070708525345622,0.9202188940092166,-0.018370109546165914
42,27,1108,0.9228326612903225,0.39639976958525347,0.8957373271889401,-0.03024919614147903
42,28,1122,1.169202188940092,0.50411866359447,1.1837557603686637,0.012294403892944228
42,29,1136,0.8681451612903225,0.39755184331797233,0.8559907834101382,-0.014199192462987842
42,30,1150,0.8014220910138249,0.4215293778801843,0.806163594470046,0.00588156484458735
42,31,1164,1.029146025345622,0.4319124423963133,0.9720622119815668,-0.058724444444444135
42,32,1178,1.0456451612903224,0.4705069124423963,0.9778225806451613,-0.0693608247422679
42,33,1192,0.6129745103686636,0.33538306451612904,0.6163594470046083,0.005491822429906645
42,34,1206,0.5935289458525345,0.35272177419354833,0.5682603686635944,-0.04446654840344655
42,35,1220,0.6719347638248848,0.3475950460829493,0.6961405529953917,0.03477141083988411
42,36,1234,0.7795888536866359,0.41951324884792623,0.7353110599078341,-0.06021641206423811
42,37,1248,0.6515797811059909,0.34997119815668204,0.6961405529953917,0.0640111708729828
42,38,1262,0.7784454205069123,0.38578629032258066,0.7727534562211982,-0.007365821841222253
42,39,1276,1.0846766993087558,0.4538450460829493,1.0512672811059909,-0.03178013698630133
42,40,1290,0.9393130760368664,0.3897753456221198,0.9205069124423964,-0.020430225281601988
42,41,1304,0.7299351958525345,0.38464861751152074,0.7151497695852534,-0.02067458719291171
42,42,1318,0.8946205357142857,0.3859014976958526,0.8643433179723502,-0.03502915694768416
42,43,1332,0.8123329493087558,0.3752880184331797,0.8044354838709677,-0.009817400644468233
42,44,1346,0.959061059907834,0.44484447004608296,0.9308755760368663,-0.030278465346534444
42,45,1360,0.8509972638248847,0.4080501152073733,0.8292050691244239,-0.026280826675929125
42,46,1374,1.0783971774193548,0.4394873271889401,1.0630760368663594,-0.01441208344622047
42,47,1388,1.0244995679723503,0.427116935483871,1.0195852534562213,-0.004819915254237195
42,48,1402,0.7362305587557604,0.38045794930875576,0.6944124423963134,-0.060220862712567325
42,49,1416,0.7926627304147466,0.40181451612903224,0.7701612903225806,-0.029216529543754755
42,50,1430,0.8540041762672811,0.39733582949308754,0.8508064516129032,-0.0037584631008800162
42,51,1444,1.0147623847926268,0.40532834101382487,0.9953917050691244,-0.019460358796296262
123,0,730,0.9247127016129031,0.37740495391705065,0.7736175115207373,-0.19530994043186878
123,1,744,0.5134396601382488,0.30254896313364055,0.42252304147465436,-0.2151755282890253
123,2,758,1.8026188076036866,0.3865063364055299,1.419930875576037,-0.26951166328600396
123,3,772,0.9181991647465437,0.3961837557603686,0.8024193548387096,-0.1442884063173009
123,4,786,1.2479867511520735,0.4553859447004608,1.0210253456221199,-0.22228772919605033
123,5,800,2.2590790610599076,0.7476238479262672,0.6097350230414746,-2.7050177137458666
123,6,814,0.6616669066820277,0.35594758064516124,0.6411290322580645,-0.03203391734052108
123,7,828,0.7960548675115208,0.3844902073732719,0.768721198156682,-0.03555732484076435
123,8,842,0.6431919642857142,0.3206653225806452,0.6140552995391705,-0.04744957786116322
123,9,856,0.6536139112903225,0.3496687788018433,0.6275921658986175,-0.04146282698485537
123,10,870,0.6724632776497695,0.3216157834101382,0.6221198156682027,-0.08092245370370366
123,11,884,1.1131177995391706,0.43942972350230414,1.064516129032258,-0.04565611471861475
123,12,898,1.4334418202764976,0.5269009216589862,1.2995391705069124,-0.10303856382978727
123,13,912,1.1043548387096775,0.4913306451612903,0.9205069124423964,-0.19972465581977472
123,14,926,1.05909418202765,0.4758928571428572,1.0440668202764978,-0.014393103448276046
123,15,940,0.9879593894009219,0.43629032258064515,0.9026497695852534,-0.09451021059349096
123,16,954,0.6482495679723503,0.36199596774193554,0.5169930875576036,-0.2538844011142065
123,17,968,1.0760627880184332,0.4736463133640553,0.959389400921659,-0.12161212848994296
123,18,982,0.694745103686636,0.33464861751152075,0.5866935483870968,-0.18417034855179204
123,19,996,1.073680155529954,0.46758352534562214,0.9579493087557603,-0.12081103427540607
123,20,1010,1.0489580933179723,0.40686923963133637,1.036578341013825,-0.0119429008057792
123,21,1024,0.6857985311059908,0.3512816820276498,0.6952764976958525,0.013631938690969347
123,22,1038,0.8740524193548387,0.3823732718894009,0.8280529953917051,-0.05555130434782596
123,23,1052,0.7642252304147467,0.3686923963133641,0.7134216589861752,-0.07121114251110217
123,24,1066,0.6326216877880184,0.34866071428571427,0.6261520737327189,-0.010332336706531775
123,25,1080,1.0681638824884792,0.42756336405529954,1.0538594470046083,-0.013573380705110605
123,26,1094,0.9409569412442397,0.41090149769585255,0.9202188940092166,-0.022535993740219196
123,27,1108,0.9457646889400921,0.3953917050691244,0.8957373271889401,-0.05585048231511247
123,28,1122,1.1972623847926267,0.5080069124423963,1.1837557603686637,-0.011409975669099737
123,29,1136,0.8659411002304148,0.3945708525345622,0.8559907834101382,-0.011624327052490058
123,30,1150,0.8148595910138248,0.4268577188940092,0.806163594470046,-0.010786888174347808
123,31,1164,0.9628593029953916,0.4244671658986175,0.9720622119815668,0.009467407407407591
123,32,1178,0.9950525633640552,0.4657978110599078,0.9778225806451613,-0.017620765832105922
123,33,1192,0.6217065092165899,0.3356566820276498,0.6163594470046083,-0.008675233644859892
123,34,1206,0.5884893433179723,0.34968317972350227,0.5682603686635944,-0.03559807399898629
123,35,1220,0.6816647465437788,0.34599654377880185,0.6961405529953917,0.020794373189904736
123,36,1234,0.7567525921658985,0.4136520737327189,0.7353110599078341,-0.029159811985898898
123,37,1248,0.6998358294930875,0.3605126728110599,0.6961405529953917,-0.005308233347124602
123,38,1262,0.778466301843318,0.38485023041474653,0.7727534562211982,-0.007392843831531826
123,39,1276,1.0797796658986174,0.4555011520737327,1.0512672811059909,-0.02712191780821893
123,40,1290,0.9292950748847926,0.3902793778801843,0.9205069124423964,-0.009547090112640655
123,41,1304,0.7236002304147466,0.3790322580645161,0.7151497695852534,-0.01181635118807911
123,42,1318,0.8853758640552994,0.3790322580645161,0.8643433179723502,-0.024333555481506064
123,43,1332,0.8125720046082949,0.3713709677419355,0.8044354838709677,-0.010114572144647394
123,44,1346,0.9431242799539171,0.4365639400921659,0.9308755760368663,-0.013158261138614069
123,45,1360,0.8821241359447004,0.4226670506912442,0.8292050691244239,-0.06381903438693981
123,46,1374,1.0850640841013826,0.44459965437788024,1.0630760368663594,-0.02068341912760774
123,47,1388,1.0405666762672812,0.43333813364055296,1.0195852534562213,-0.020578389830508526
123,48,1402,0.7297335829493088,0.3765841013824885,0.6944124423963134,-0.05086478639568637
