seed,target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true,n_rows,mse,naive_mse,mae,mean_observed,max_observed,skill,delta_mse
42,0,A01AD02,sparse,0.1594798083504449,0.17932922655715264,262.0,728,0.22527472527472528,0.22527472527472528,0.19505494505494506,0.18681318681318682,3.0,0.0,0.0
42,1,A02AA02,sparse,0.038329911019849415,0.5188227241615332,758.0,728,0.0,0.0,0.0,0.0,0.0,,0.0
42,2,A02AA04,dense,0.9507186858316222,50.91649555099247,74389.0,728,10.580106456043957,8.291208791208792,1.931387362637363,46.96978021978022,72.0,-0.27606320410868124,2.288897664835165
42,3,A02AD03,dense,0.7611225188227242,1.999315537303217,2921.0,728,0.7431696428571429,0.7733516483516484,0.5076236263736263,1.342032967032967,6.0,0.03902753108348134,-0.03018200549450545
42,4,A02BA03,dense,1.0,17.326488706365502,25314.0,728,2.617194368131868,2.616758241758242,1.0367445054945055,18.138736263736263,28.0,-0.0001666666666666483,0.0004361263736263332
42,5,A02BC01,dense,1.0,48.65639972621492,71087.0,728,4.4119642857142845,4.127747252747253,1.3824175824175822,42.58653846153846,55.0,-0.06885524126455866,0.2842170329670317
42,6,A02BC02,sparse,0.4941820670773443,0.7241615331964408,1058.0,728,1.1717032967032968,1.1717032967032968,0.646978021978022,0.7651098901098901,4.0,0.0,0.0
42,7,A02BX14,dense,1.0,25.88911704312115,37824.0,728,3.89115728021978,3.9464285714285716,1.3241071428571427,28.84752747252747,43.0,0.014005395057431369,-0.055271291208791595
42,8,A03AC05,sparse,0.5817932922655715,1.0109514031485285,1477.0,728,0.3871737637362638,0.37225274725274726,0.3286401098901099,0.4409340659340659,3.0,-0.04008302583025847,0.014921016483516514
42,9,A03BB01,sparse,0.04791238877481177,0.05475701574264202,80.0,728,0.024725274725274724,0.024725274725274724,0.024725274725274724,0.005494505494505495,1.0,0.0,0.0
42,10,A03FA01,dense,0.7967145790554415,1.5270362765229295,2231.0,728,1.295,1.2747252747252746,0.7651098901098901,1.6978021978021978,6.0,-0.01590517241379308,0.02027472527472529
42,11,A03FA07,dense,1.0,10.373716632443532,15156.0,728,1.1091723901098902,0.9478021978021978,0.6349587912087912,9.851648351648352,15.0,-0.17025724637681172,0.16137019230769245
42,12,A03FA09,dense,1.0,21.94592744695414,32063.0,728,1.9101064560439558,1.831043956043956,0.9599587912087911,23.800824175824175,32.0,-0.043178919729932375,0.07906249999999981
42,13,A04AA01,ultra,0.002053388090349076,0.002053388090349076,3.0,728,0.0,0.0,0.0,0.0,0.0,,0.0
42,14,A04AD,dense,0.70362765229295,1.299110198494182,1898.0,728,0.31035714285714283,0.3090659340659341,0.2853021978021978,0.5782967032967034,3.0,-0.004177777777777614,0.0012912087912087533
42,15,A05AA02,dense,1.0,12.06091718001369,17621.0,728,2.1357486263736263,2.1414835164835164,1.0087912087912088,13.627747252747254,22.0,0.002677998717126373,-0.005734890109890145
42,16,A05BA03,dense,0.9849418206707734,4.333333333333333,6331.0,728,1.5913873626373627,1.5892857142857142,0.8759615384615386,4.267857142857143,10.0,-0.0013223854796888812,0.0021016483516484996
42,17,A05BA06,sparse,0.28952772073921973,0.2997946611909651,438.0,728,0.15455013736263737,0.14148351648351648,0.1507554945054945,0.4958791208791209,2.0,-0.09235436893203897,0.013066620879120888
42,18,A06AB02,sparse,0.013689253935660506,0.014373716632443531,21.0,728,0.07005494505494506,0.11675824175824176,0.0673076923076923,0.028846153846153848,2.0,0.4,-0.046703296703296704
42,19,A06AD11,dense,0.9377138945927447,12.694045174537989,18546.0,728,3.8160611263736253,2.6456043956043955,1.1309752747252746,15.994505494505495,37.0,-0.4424156282450671,1.1704567307692297
42,20,A07AA09,sparse,0.18548939082819987,0.20396988364134155,298.0,728,0.16895604395604397,0.16895604395604397,0.14972527472527472,0.125,2.0,0.0,0.0
42,21,A07AA11,sparse,0.09650924024640657,0.09924709103353867,145.0,728,0.03021978021978022,0.03021978021978022,0.03021978021978022,0.17857142857142858,2.0,0.0,0.0
42,22,A07BC05,sparse,0.6598220396988365,1.3949349760438057,2038.0,728,1.773385989010989,1.7307692307692308,0.9175824175824175,1.1675824175824177,5.0,-0.024623015873015852,0.04261675824175826
42,23,A07CA,sparse,0.08350444900752908,0.08350444900752908,122.0,728,0.0,0.0,0.0,0.0,0.0,,0.0
42,24,A07DA03,sparse,0.5106091718001369,0.9664613278576317,1412.0,728,0.7071462912087912,0.45879120879120877,0.38427197802197804,0.9972527472527473,5.0,-0.5413248502994013,0.24835508241758247
42,25,A10AB01,sparse,0.2327173169062286,0.2950034223134839,431.0,728,0.5259718406593407,0.5247252747252747,0.4171016483516483,0.4725274725274725,4.0,-0.002375654450261777,0.001246565934065913
42,26,A10AB04,sparse,0.6789869952087612,1.0684462696783026,1561.0,728,0.2507245879120879,0.1978021978021978,0.23331043956043956,0.45054945054945056,3.0,-0.26755208333333336,0.05292239010989011
42,27,A10AC01,sparse,0.040383299110198494,0.040383299110198494,59.0,728,0.0,0.0,0.0,0.0,0.0,,0.0
42,28,A10AE04,dense,0.9685147159479809,2.5564681724845997,3735.0,728,0.36419299450549447,0.25824175824175827,0.2511675824175824,2.151098901098901,6.0,-0.4102792553191488,0.1059512362637362
42,29,A10BA02,dense,1.0,13.931553730321697,20354.0,728,1.4107486263736262,1.3475274725274726,0.7726648351648352,14.831043956043956,20.0,-0.04691641182466855,0.06322115384615357
42,30,A10BB09,dense,0.999315537303217,2.4914442162902124,3640.0,728,0.438904532967033,0.23626373626373626,0.2510302197802198,3.6016483516483517,7.0,-0.8576889534883725,0.20264079670329677
42,31,A10BB12,dense,0.7378507871321013,1.218343600273785,1780.0,728,0.31868131868131866,0.31868131868131866,0.25824175824175827,1.2225274725274726,4.0,0.0,0.0
42,32,A10BH,dense,1.0,16.026009582477755,23414.0,728,0.8983138736263736,0.885989010989011,0.6065247252747252,16.971153846153847,22.0,-0.013910852713178379,0.012324862637362655
42,33,A10BK01,sparse,0.10403832991101986,0.10403832991101986,152.0,728,0.08173763736263735,0.012362637362637362,0.09601648351648351,0.20467032967032966,1.0,-5.611666666666666,0.06937499999999999
42,34,A10BK03,sparse,0.38329911019849416,0.7987679671457906,1167.0,728,0.5202884615384615,0.10714285714285714,0.3054945054945055,1.598901098901099,3.0,-3.8560256410256413,0.4131456043956044
42,35,A11CC04,sparse,0.11156741957563313,0.1218343600273785,178.0,728,0.061813186813186816,0.061813186813186816,0.061813186813186816,0.2403846153846154,2.0,0.0,0.0
42,36,A11DA01,dense,1.0,2.886379192334018,4217.0,728,0.14502403846153844,0.10027472527472528,0.12836538461538463,3.0782967032967035,5.0,-0.44626712328767093,0.04474931318681316
42,37,A11EA,dense,0.8870636550308009,3.2580424366872007,4760.0,728,6.585882554945055,6.93543956043956,2.058585164835165,4.353021978021978,12.0,0.05040156466627055,-0.3495570054945052
42,38,A11EB,sparse,0.3915126625598905,1.566050650239562,2288.0,728,1.3973145604395605,0.3489010989010989,0.5559065934065934,3.1346153846153846,7.0,-3.0049015748031502,1.0484134615384617
42,39,A11GA01,sparse,0.1430527036276523,0.270362765229295,395.0,728,0.28700892857142857,0.3131868131868132,0.19031593406593408,0.10714285714285714,4.0,0.08358552631578953,-0.026177884615384617
42,40,A11HA02,sparse,0.5811088295687885,0.6050650239561944,884.0,728,0.06445741758241758,0.061813186813186816,0.06236263736263736,0.7293956043956044,2.0,-0.04277777777777758,0.00264423076923076
42,41,A12AX,dense,1.0,12.248459958932239,17895.0,728,1.202087912087912,1.1263736263736264,0.6442307692307693,12.651098901098901,20.0,-0.06721951219512179,0.07571428571428562
42,42,A12BA01,sparse,0.5968514715947981,1.109514031485284,1621.0,728,0.9189045329670329,0.9024725274725275,0.6113324175824176,1.4986263736263736,6.0,-0.018207762557077567,0.01643200549450541
42,43,B01AA03,sparse,0.3162217659137577,0.3162217659137577,462.0,728,0.04945054945054945,0.04945054945054945,0.04945054945054945,0.4230769230769231,1.0,0.0,0.0
42,44,B01AC,dense,1.0,5.737166324435318,8382.0,728,0.47310096153846154,0.4519230769230769,0.36160714285714285,6.718406593406593,12.0,-0.04686170212765961,0.021177884615384612
42,45,B01AC04,dense,1.0,12.78507871321013,18679.0,728,1.14448489010989,0.989010989010989,0.7137362637362638,10.31043956043956,15.0,-0.1572013888888888,0.15547390109890102
42,46,B01AC06,dense,1.0,20.553045859000683,30028.0,728,1.2400858516483517,1.1414835164835164,0.7335851648351648,18.699175824175825,26.0,-0.08638086642599285,0.0986023351648353
42,47,B01AF02,sparse,0.4736481861738535,4.97056810403833,7262.0,728,4.603561126373626,2.7596153846153846,1.0611950549450548,9.971153846153847,16.0,-0.6681893977103035,1.8439457417582417
42,48,B02AA02,sparse,0.29842573579739906,0.33744010951403147,493.0,728,0.22252747252747251,0.22252747252747251,0.21428571428571427,0.41483516483516486,3.0,0.0,0.0
42,49,B03AA07,sparse,0.405886379192334,10.078713210130047,14725.0,728,0.0,0.0,0.0,0.0,0.0,,0.0
42,50,B03AB,sparse,0.6036960985626283,17.701574264202602,25862.0,728,2.822462225274725,2.0027472527472527,1.1716346153846153,29.928571428571427,40.0,-0.4092952674897117,0.8197149725274722
42,51,B03BA05,sparse,0.07802874743326489,0.08076659822039699,118.0,728,0.11035714285714286,0.023351648351648352,0.12335164835164834,0.15796703296703296,2.0,-3.725882352941176,0.08700549450549451
42,52,B03BB01,dense,1.0,7.107460643394935,10384.0,728,0.5184718406593407,0.4958791208791209,0.41888736263736265,8.842032967032967,13.0,-0.045560941828254986,0.022592719780219817
42,53,B05AA01,sparse,0.4811772758384668,0.9295003422313484,1358.0,728,2.0732829670329673,2.065934065934066,0.8820054945054946,0.7252747252747253,6.0,-0.0035571808510639347,0.007348901098901184
42,54,B05BA01,sparse,0.03559206023271732,0.03696098562628337,54.0,728,0.33232486263736266,0.3983516483516483,0.3191620879120879,0.07417582417582418,2.0,0.16574999999999984,-0.06602678571428566
