mode,mean_mse,median_mse,mean_skill,median_skill
S1_var_baseline,60.82528632970957,51.33110046386719,0.07462238624591037,0.06853314611398764
S2_gru_dynamics,62.151877168508676,51.0476188659668,0.04775031302218247,0.03776243626906145
S3_reg_latent16,62.334512307093696,49.42633819580078,0.057485106210192864,0.10239969336733079
S4_gru_reg_latent16,61.63066602120033,50.29985237121582,0.056869688050199714,0.053184225707014976
