label,seed,n_folds,mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,max_fold_mse,p95_fold_mse
pure_S11,42,52,0.9611895161290323,0.894729262672811,0.40862615207373276,0.4025057603686636,-0.17146075699954821,-0.04236322113993729,3.8773041474654377,1.3197004608294927
pure_S11,123,52,0.9624689826302729,0.9121543778801844,0.4156770648706133,0.40005760368663595,-0.16724565104460412,-0.037928881143095006,3.146889400921659,1.3758064516129025
pure_S11,456,52,0.9756125930521092,0.9508928571428572,0.41285780751506557,0.40092165898617516,-0.18364557814626242,-0.06517334091493199,3.272753456221198,1.4053715437788012
pure_S11,789,52,0.9647952853598015,0.9004896313364055,0.40954005671747606,0.3898329493087558,-0.1789870313517087,-0.03648090736091103,4.220910138248848,1.3282114055299534
pure_S11,1024,52,0.9444069035802907,0.8882488479262672,0.40684265331442754,0.39746543778801846,-0.15185647189416235,-0.06508360398115198,2.752016129032258,1.253557027649769
pure_S04,42,52,0.9568526231832684,0.8595910138248848,0.40567396313364057,0.3896889400921659,-0.1759612907093461,-0.025611838051526448,5.048675115207374,1.2826180875576028
pure_S04,123,52,0.9522055565402339,0.8876728110599078,0.4063109269762496,0.3961693548387097,-0.1600855026772455,-0.03507884240301462,3.7669930875576036,1.3155529953917044
pure_S04,456,52,0.9659972084367247,0.8742799539170507,0.40931296526054595,0.39588133640552997,-0.18363765418173392,-0.04465546928549169,4.699596774193548,1.3183899769585243
pure_S04,789,52,0.9456808312655086,0.8605990783410138,0.4054801045728465,0.39026497695852536,-0.15532942743697456,-0.023869964872577643,4.269009216589862,1.2865351382488472
pure_S04,1024,52,0.9664790854306984,0.8626152073732718,0.4073356079404466,0.39026497695852536,-0.18784119512932088,-0.031007670055370085,5.088709677419355,1.2934187788018425
blend_w0.55,42,52,0.9218340819966323,0.8750248415898616,0.40291867910315493,0.3968677995391705,-0.11527691274659883,-0.030263804712889808,2.94572508640553,1.2918537946428565
blend_w0.55,123,52,0.9233199247828784,0.8975338421658986,0.40758346995746186,0.3956149193548387,-0.11162206175571042,-0.030596897034432358,2.2590790610599076,1.3314415322580635
blend_w0.55,456,52,0.9294224399592342,0.9202109735023041,0.406487061325771,0.3949020737327189,-0.12003441825129015,-0.04862923989355428,2.4024596774193547,1.3525289458525336
blend_w0.55,789,52,0.9155903685528182,0.8694858870967742,0.40296354351293867,0.38963133640553,-0.10425602809705488,-0.029771628082773227,2.4967245103686637,1.2974313796082941
blend_w0.55,1024,52,0.9075643748892237,0.8607538882488479,0.40207567130450195,0.3929291474654378,-0.09486996830041895,-0.03348029517765638,2.0565574596774194,1.2619141705069117
