fold_id,t_end,mse,mae,skill_vs_naive,mode,run_type
0,730,540.8660888671875,6.988095283508301,0.0012393285985781155,S3_dynp14,manual
1,744,268.4300537109375,5.186011791229248,0.009896402836883311,S3_dynp14,manual
2,758,226.7142791748047,5.38095235824585,0.010617817373035132,S3_dynp14,manual
3,772,79.93006134033203,3.4895832538604736,0.0022847300683467298,S3_dynp14,manual
4,786,51.37946319580078,2.5223214626312256,-0.004684838064829666,S3_dynp14,manual
5,800,50.55506134033203,2.924107074737549,-0.015726442928021056,S3_dynp14,manual
6,814,40.51041793823242,2.6026785373687744,-0.01140592828265441,S3_dynp14,manual
7,828,98.36607360839844,3.6488094329833984,-0.005766622734876714,S3_dynp14,manual
8,842,73.59375,3.715773820877075,0.008699346431424337,S3_dynp14,manual
9,856,216.4166717529297,5.9285712242126465,-0.0039001323755933903,S3_dynp14,manual
10,870,39.6726188659668,2.967261791229248,-0.011304112502019015,S3_dynp14,manual
11,884,67.99553680419922,3.2574405670166016,-0.014205551534683503,S3_dynp14,manual
12,898,49.76041793823242,2.9449405670166016,-0.029938125048261988,S3_dynp14,manual
13,912,39.363094329833984,2.452380895614624,-0.0013627688030652951,S3_dynp14,manual
14,926,57.87202453613281,3.044642925262451,-0.03667963575044553,S3_dynp14,manual
15,940,51.337799072265625,3.081845283508301,-0.031082813108015417,S3_dynp14,manual
16,954,52.05803680419922,3.1026785373687744,-0.036379798544388775,S3_dynp14,manual
17,968,75.04612731933594,3.751488208770752,-0.03711995694818837,S3_dynp14,manual
18,982,37.563987731933594,2.5848214626312256,-0.01979561573305455,S3_dynp14,manual
19,996,90.02381134033203,3.4583332538604736,-0.03482723589000436,S3_dynp14,manual
20,1010,61.37053680419922,2.831845283508301,0.01346757306941615,S3_dynp14,manual
21,1024,133.23065185546875,4.215773582458496,-0.014515581057798821,S3_dynp14,manual
22,1038,62.42410659790039,3.611607074737549,-0.044208787837330066,S3_dynp14,manual
23,1052,72.16963958740234,3.3392856121063232,-0.008232414190261217,S3_dynp14,manual
24,1066,63.72916793823242,3.190476179122925,-0.01683408663646402,S3_dynp14,manual
25,1080,88.67708587646484,3.891369104385376,-0.012987288028498245,S3_dynp14,manual
26,1094,61.86160659790039,3.3824405670166016,-0.04426136115205703,S3_dynp14,manual
27,1108,52.83631134033203,3.0833332538604736,-0.04398710226824343,S3_dynp14,manual
28,1122,63.15178680419922,3.1190476417541504,-0.055225433216517184,S3_dynp14,manual
29,1136,83.10118865966797,3.0833332538604736,0.016813723145080006,S3_dynp14,manual
30,1150,43.4211311340332,2.6949405670166016,-0.018784238535332287,S3_dynp14,manual
31,1164,92.61012268066406,3.8125,-0.036542350007800595,S3_dynp14,manual
32,1178,65.33779907226562,3.424107074737549,-0.045828120855561094,S3_dynp14,manual
33,1192,29.41964340209961,2.345238208770752,-0.003604274898802551,S3_dynp14,manual
34,1206,37.157737731933594,2.404761791229248,-0.021059083234527654,S3_dynp14,manual
35,1220,40.574405670166016,2.142857074737549,0.0071370730047574105,S3_dynp14,manual
36,1234,47.05803680419922,2.4955356121063232,0.017247819853997037,S3_dynp14,manual
37,1248,17.92708396911621,1.7485119104385376,0.0016573268760997628,S3_dynp14,manual
38,1262,20.514881134033203,2.0357143878936768,0.0017378181490806943,S3_dynp14,manual
39,1276,24.665178298950195,2.0223214626312256,-0.010424241761272768,S3_dynp14,manual
40,1290,37.342262268066406,2.4136905670166016,-0.0014766820507321476,S3_dynp14,manual
41,1304,38.61458206176758,2.403273820877075,-0.023750311496737675,S3_dynp14,manual
42,1318,20.434524536132812,1.9285714626312256,0.020402296485871885,S3_dynp14,manual
43,1332,26.95833396911621,2.595238208770752,-0.03313375690026188,S3_dynp14,manual
44,1346,17.610118865966797,1.875,0.011609510148619773,S3_dynp14,manual
45,1360,30.29910659790039,1.8407738208770752,-0.009819921592938208,S3_dynp14,manual
46,1374,35.13839340209961,2.391369104385376,-0.0076384686438493166,S3_dynp14,manual
47,1388,24.379465103149414,2.063988208770752,-0.016819791910045456,S3_dynp14,manual
48,1402,25.66964340209961,2.0267856121063232,-0.03846850678531921,S3_dynp14,manual
49,1416,28.886905670166016,2.294642925262451,-0.002478883487048389,S3_dynp14,manual
50,1430,24.02083396911621,2.044642925262451,-0.0013648286867669057,S3_dynp14,manual
51,1444,33.029762268066406,2.235119104385376,-0.007215121358864707,S3_dynp14,manual
52,1458,65.39286041259766,3.3511905670166016,0.0017490875756199786,S3_dynp14,manual
53,1472,45.39583206176758,2.720238208770752,-0.39890854465135983,S3_dynp14,manual
54,1486,49.12797546386719,2.952380895614624,0.047297486234989417,S3_dynp14,manual
55,1500,24.991071701049805,2.1458332538604736,-0.0277846196421927,S3_dynp14,manual
56,1514,69.48065185546875,3.3705356121063232,0.009944940699766036,S3_dynp14,manual
57,1528,48.17410659790039,2.248511791229248,-0.004156475523763747,S3_dynp14,manual
58,1542,26.363094329833984,2.029761791229248,-0.02186074660350812,S3_dynp14,manual
59,1556,29.340774536132812,2.299107074737549,0.012471173567303095,S3_dynp14,manual
60,1570,29.73214340209961,2.217261791229248,0.0016489098980193573,S3_dynp14,manual
61,1584,38.74553680419922,2.3854167461395264,-0.02085868876841457,S3_dynp14,manual
62,1598,46.99553680419922,2.6622023582458496,0.02065305017305674,S3_dynp14,manual
63,1612,84.39137268066406,3.0848214626312256,0.00989908823339336,S3_dynp14,manual
64,1626,56.35268020629883,2.909226179122925,-0.0019845001705525167,S3_dynp14,manual
65,1640,62.64583206176758,3.0625,-0.008891105171898506,S3_dynp14,manual
66,1654,57.44643020629883,2.952380895614624,-0.002623197575313263,S3_dynp14,manual
67,1668,52.1398811340332,2.904761791229248,-0.0058563155026227776,S3_dynp14,manual
68,1682,64.31696319580078,3.1294643878936768,0.00327470929373308,S3_dynp14,manual
69,1696,44.293155670166016,2.6949405670166016,0.0022793142053449955,S3_dynp14,manual
70,1710,62.83333206176758,2.752976179122925,-0.039820721403366344,S3_dynp14,manual
71,1724,48.65178680419922,2.389880895614624,-0.015751758422968498,S3_dynp14,manual
72,1738,58.64583206176758,2.580357074737549,-0.023051724237749704,S3_dynp14,manual
73,1752,52.224700927734375,2.8377976417541504,-0.01024785562768682,S3_dynp14,manual
74,1766,96.13838958740234,3.174107074737549,-0.01767398835490397,S3_dynp14,manual
75,1780,68.95088958740234,2.8526785373687744,-0.009015403076685358,S3_dynp14,manual
76,1794,64.19791412353516,2.793154716491699,-0.02528695408691961,S3_dynp14,manual
77,1808,58.537200927734375,2.918154716491699,-0.007091628864247301,S3_dynp14,manual
78,1822,91.92411041259766,3.46875,-0.005780072265511693,S3_dynp14,manual
79,1836,90.32588958740234,3.1294643878936768,0.011449182110622735,S3_dynp14,manual
80,1850,132.40625,4.590773582458496,-0.01599755056496832,S3_dynp14,manual
