mode,mean_mse_orig,mean_mse_gated,delta_mse,median_mse_orig,median_mse_gated,mean_skill_orig,mean_skill_gated,median_skill_orig,median_skill_gated
S1_gru_baseline,59.04831768916203,58.491335083888124,-0.5569826052739089,48.9694938659668,48.87202453613281,0.10543109503272916,0.11740732563403705,0.08395214924191857,0.1012260565740633
S2_horizon_linear,63.116300289447494,62.37086790524996,-0.7454323841975352,51.41815376281738,50.82589340209961,0.03143229307367159,0.04380867334066811,0.06392578583067626,0.06793822021344986
S3_dynp14,65.06828095362737,64.64339502774752,-0.42488592587984897,55.24479293823242,54.854909896850586,-0.010745311020230682,-0.0017506846961049154,-0.0055958773620028435,0.0026564827152255055
S4_latent16,64.20635340030377,62.965201524587776,-1.2411518757159925,48.2336311340332,47.8125,0.02101791602571479,0.0413951940723257,0.08882100162978046,0.1004027368622748
S5_dynp14_latent16,65.07248163956862,64.66211081284743,-0.4103708267211914,54.70535659790039,54.276784896850586,-0.01211755236944681,-0.003552428370492751,-0.005596352291943885,0.001492852378815468
S6_dynp14_latent16_hlinear,64.81152698810284,64.35670807178204,-0.4548189163208036,55.3831844329834,54.8980655670166,-0.008162811951694285,0.0016108391790380099,-0.0039690081914717235,0.004797424557360153
