bucket,mse_s1,mse_s8,mae_s1,mae_s8,delta_mse_s8_minus_s1
dense,666.5353,1989.8971,13.2125,15.8248625,1323.3618
sparse,61.092964,114.04521,2.3657143,2.6491024,52.95225
ultra_sparse,0.104277864,0.40376765,0.013540031,0.05376766,0.2994898
