alpha_s8,mse,mae
0.15000000000000002,87.59577598443224,2.5457257326007325
0.2,87.71277655677655,2.543630952380952
0.1,88.56433424908424,2.5522916666666666
0.25,88.91533596611721,2.545798992673993
0.05,90.6184513507326,2.5641460622710626
0.30000000000000004,91.2034542124542,2.551142399267399
0.0,93.75812728937728,2.583562271062271
0.35000000000000003,94.57713129578754,2.5598683608058606
0.4,99.0363672161172,2.571662087912088
0.45,104.58116197344323,2.5867857142857145
0.5,111.21151556776557,2.605048076923077
0.55,118.92742799908426,2.6271233974358976
0.6000000000000001,127.7288992673993,2.652335164835165
0.65,137.6159293727106,2.681150412087912
0.7000000000000001,148.58851831501832,2.7133836996336997
0.75,160.64666609432234,2.74948489010989
0.8,173.7903727106227,2.7894642857142853
0.8500000000000001,188.01963816391947,2.8337419871794873
0.9,203.33446245421246,2.8824015567765566
0.9500000000000001,219.73484558150187,2.934830586080586
1.0,237.22078754578754,2.99010989010989
