fold_id,t_end,date,mse_s1,mse_s2,skill_s1,skill_s2,delta_mse_s2_minus_s1,s1_cat500,s2_cat500,both_cat500,only_s1_cat500,only_s2_cat500,dist_to_day_after_holiday
0,730,2020-01-02,541.5565185546875,534.1488037109375,-3.561548173425244e-05,0.0136434344775445,-7.40771484375,True,True,True,False,False,0
1,744,2020-01-16,274.1502990722656,268.078857421875,-0.0112027082000856,0.0111917894908887,-6.071441650390625,False,False,False,False,False,11
2,758,2020-01-30,215.54017639160156,239.5773773193359,0.0593816545728058,-0.0455168035423445,24.037200927734347,False,False,False,False,False,2
3,772,2020-02-13,77.11161041259766,78.30654907226562,0.0374656304830284,0.0225499838866104,1.1949386596679688,False,False,False,False,False,16
4,786,2020-02-27,47.3288688659668,49.29464340209961,0.0745213360601694,0.0360821670096843,1.9657745361328125,False,False,False,False,False,4
5,800,2020-03-12,46.95089340209961,51.7648811340332,0.0566866564246142,-0.0400335236249966,4.813987731933594,False,False,False,False,False,10
6,814,2020-03-26,38.0,44.238094329833984,0.0512705809813764,-0.104473198211433,6.238094329833984,False,False,False,False,False,21
7,828,2020-04-09,87.29166412353516,97.24404907226562,0.1074662330433887,0.0057057761007682,9.952384948730469,False,False,False,False,False,7
8,842,2020-04-23,3976.06689453125,77.07440185546875,-52.55723429205884,-0.0381846954766296,-3898.9924926757812,True,False,False,True,False,7
9,856,2020-05-07,160.8095245361328,214.5684509277344,0.2540468270698532,0.0046732788872465,53.75892639160159,False,False,False,False,False,1
10,870,2020-05-21,34.470237731933594,42.70833206176758,0.1213110156654843,-0.0886881957071639,8.238094329833984,False,False,False,False,False,15
11,884,2020-06-04,51.84375,66.49404907226562,0.2267107293558562,0.0081902889110415,14.650299072265625,False,False,False,False,False,4
12,898,2020-06-18,35.96875,47.62946319580078,0.2555209849460199,0.0141682475048601,11.660713195800781,False,False,False,False,False,10
13,912,2020-07-02,33.431549072265625,39.45833206176758,0.1495305662744465,-0.0037855335924499,6.026782989501953,False,False,False,False,False,24
14,926,2020-07-16,40.89881134033203,45.074405670166016,0.2673668290894246,0.1925681047733047,4.175594329833984,False,False,False,False,False,32
15,940,2020-07-30,39.47172546386719,44.050594329833984,0.2072387506869533,0.1152754589897777,4.578868865966797,False,False,False,False,False,18
16,954,2020-08-13,40.70981979370117,42.605655670166016,0.189542337232911,0.1517997306280194,1.8958358764648438,False,False,False,False,False,4
17,968,2020-08-27,50.900299072265625,63.0625,0.2965697515896126,0.1284909745343557,12.162200927734375,False,False,False,False,False,9
18,982,2020-09-10,36.99106979370117,31.0074405670166,-0.0042419102597786,0.1582030062674845,-5.98362922668457,False,False,False,False,False,21
19,996,2020-09-24,74.23958587646484,64.85267639160156,0.1466130537872274,0.2545159458237346,-9.386909484863281,False,False,False,False,False,7
20,1010,2020-10-08,79.02083587646484,72.09821319580078,-0.2702612858676854,-0.1589800080833769,-6.9226226806640625,False,False,False,False,False,3
21,1024,2020-10-22,113.9360122680664,119.08928680419922,0.1324079100435532,0.0931671104410214,5.1532745361328125,False,False,False,False,False,10
22,1038,2020-11-05,51.46577453613281,54.907737731933594,0.1390983872680344,0.081522421629966,3.4419631958007812,False,False,False,False,False,24
23,1052,2020-11-19,73.27529907226562,69.12202453613281,-0.0236788226532829,0.034343720292755,-4.1532745361328125,False,False,False,False,False,38
24,1066,2020-12-03,63.65178680419922,56.44047546386719,-0.0155994278876818,0.0994610290023987,-7.211311340332031,False,False,False,False,False,25
25,1080,2020-12-17,82.7202377319336,78.27678680419922,0.0550597320949696,0.1058187219770219,-4.443450927734375,False,False,False,False,False,11
26,1094,2020-12-31,48.91964340209961,60.70089340209961,0.1742068107250931,-0.024667819884488,11.78125,False,False,False,False,False,3
27,1108,2021-01-14,46.168155670166016,48.39583206176758,0.0877682822197009,0.0437518593873178,2.2276763916015625,False,False,False,False,False,10
28,1122,2021-01-28,51.717262268066406,54.8913688659668,0.135838061862031,0.0828007975288842,3.1741065979003906,False,False,False,False,False,15
29,1136,2021-02-11,82.74404907226562,74.15029907226562,0.02103911085516,0.1227134334851889,-8.59375,False,False,False,False,False,1
30,1150,2021-02-25,39.69643020629883,43.58631134033203,0.0686079251261868,-0.0226598397990533,3.889881134033203,False,False,False,False,False,5
31,1164,2021-03-11,81.64286041259766,99.1532745361328,0.0862091535583096,-0.1097768281016464,17.510414123535142,False,False,False,False,False,9
32,1178,2021-03-25,40.811012268066406,56.91666793823242,0.3467593816051517,0.0889645393569955,16.105655670166016,False,False,False,False,False,23
33,1192,2021-04-08,30.165178298950195,26.415178298950195,-0.029037010412928,0.0988882665672108,-3.75,False,False,False,False,False,28
34,1206,2021-04-22,34.20089340209961,28.348215103149418,0.0601921700701871,0.2210181703370696,-5.852678298950192,False,False,False,False,False,14
35,1220,2021-05-06,40.86606979370117,35.25743865966797,0.0,0.1372442019099591,-5.608631134033203,False,False,False,False,False,0
36,1234,2021-05-20,47.88393020629883,42.41666793823242,0.0,0.1141773919666105,-5.467262268066406,False,False,False,False,False,0
37,1248,2021-06-03,20.723215103149418,15.010416984558104,-0.154056621670396,0.164083805102693,-5.712798118591314,False,False,False,False,False,4
38,1262,2021-06-17,24.157737731933594,19.574405670166016,-0.1755250161725492,0.0475017239891112,-4.583332061767578,False,False,False,False,False,10
