seed,target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true,n_rows,mse,naive_mse,mae,mean_observed,max_observed,skill,delta_mse
42,0,A02BA01,sparse,0.059053578412201796,0.07195932733672272,184.0,1820,0.3369793956043956,0.33681318681318684,0.22282967032967033,0.06208791208791209,4.0,-0.0004934747145186602,0.0001662087912087662
42,1,A03AB02,sparse,0.03637074696910442,0.05631599530700039,144.0,1820,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.03296703296703297,1.0,0.0,0.0
42,2,A03FA01,sparse,0.2334767305436058,0.3038717246773563,777.0,1820,0.6531524725274725,0.6362637362637362,0.4350824175824176,0.25274725274725274,3.0,-0.0265436096718481,0.016888736263736326
42,3,A04AA01,sparse,0.009777082518576457,0.02972233085647243,76.0,1820,0.006043956043956044,0.006043956043956044,0.004945054945054945,0.004945054945054945,2.0,0.0,0.0
42,4,A10AB05,ultra,0.00039108330074305825,0.00039108330074305825,1.0,1820,0.0,0.0,0.0,0.0,0.0,,0.0
42,5,A10AE04,ultra,0.0007821666014861165,0.0007821666014861165,2.0,1820,0.0,0.0,0.0,0.0,0.0,,0.0
42,6,A11EA,sparse,0.09112240907313257,0.13805240516229958,353.0,1820,0.439010989010989,0.5653846153846154,0.2763736263736264,0.19065934065934065,5.0,0.22351797862001943,-0.12637362637362637
42,7,B02AA02,sparse,0.02698474775127102,0.032850997262416894,84.0,1820,0.1087912087912088,0.11208791208791209,0.08131868131868132,0.041758241758241756,3.0,0.02941176470588236,-0.003296703296703299
42,8,B05BA03,ultra,0.00039108330074305825,0.00039108330074305825,1.0,1820,0.0005494505494505495,0.0005494505494505495,0.0005494505494505495,0.0005494505494505495,1.0,0.0,0.0
42,9,B05BB01,sparse,0.3343762221353148,0.7328901055924912,1874.0,1820,3.8055796703296703,4.05,1.1106043956043956,0.6796703296703297,11.0,0.06035069868403198,-0.24442032967032956
42,10,B05BB02,sparse,0.6589753617520532,4.832225263981228,12356.0,1820,31.272739010989014,42.40659340659341,4.225989010989011,4.841758241758241,22.0,0.2625500777403472,-11.133854395604395
42,11,B05XA03,sparse,0.1638639030113414,0.2229174814235432,570.0,1820,0.505103021978022,0.5082417582417582,0.3800274725274725,0.22362637362637364,3.0,0.006175675675675452,-0.003138736263736175
42,12,C01EA01,sparse,0.01564333202972233,0.03402424716464607,87.0,1820,0.07417582417582418,0.09835164835164835,0.03241758241758242,0.03241758241758242,5.0,0.24581005586592175,-0.024175824175824173
42,13,C07AG01,ultra,0.001564333202972233,0.001564333202972233,4.0,1820,0.0005494505494505495,0.0005494505494505495,0.0005494505494505495,0.0005494505494505495,1.0,0.0,0.0
42,14,C08CA04,ultra,0.0019554165037152915,0.0023464998044583495,6.0,1820,0.0,0.0,0.0,0.0,0.0,,0.0
42,15,D11AH05,sparse,0.1020727414939382,0.15056707078607742,385.0,1820,0.9008008241758242,1.1851648351648352,0.44107142857142856,0.21043956043956044,5.0,0.23993625405656005,-0.284364010989011
42,16,H02AB02,dense,0.7989831834180681,10.864294094642158,27780.0,1820,61.45612362637363,77.8565934065934,5.377802197802198,7.812637362637362,58.0,0.2106497222986753,-16.400469780219773
42,17,H02AB04,ultra,0.0007821666014861165,0.0007821666014861165,2.0,1820,0.001098901098901099,0.007692307692307693,0.001098901098901099,0.001098901098901099,1.0,0.8571428571428572,-0.006593406593406594
42,18,H02AB08,sparse,0.20258114978490419,0.2835353930387172,725.0,1820,0.7378956043956044,0.7335164835164835,0.4621978021978022,0.2434065934065934,3.0,-0.005970037453183696,0.004379120879120957
42,19,J01CR02,sparse,0.15526007039499412,0.19554165037152912,500.0,1820,0.33969917582417586,0.310989010989011,0.27931318681318684,0.13296703296703297,3.0,-0.09231890459363967,0.028710164835164864
42,20,J01DC02,sparse,0.08017207665232695,0.6253421978881502,1599.0,1820,6.500557692307692,6.945604395604396,0.795,0.85,18.0,0.06407602246657707,-0.44504670329670404
42,21,J01DC05,sparse,0.4337113805240516,3.147829487680876,8049.0,1820,30.76441208791209,36.322527472527476,3.9132417582417585,4.093956043956044,22.0,0.15302116266053523,-5.5581153846153875
42,22,J01DC07,sparse,0.00899491591709034,0.03245991396167384,83.0,1820,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,0.0038461538461538464,1.0,0.0,0.0
42,23,J01DC09,sparse,0.16151740320688307,1.1650371529135706,2979.0,1820,0.001098901098901099,0.001098901098901099,0.001098901098901099,0.001098901098901099,1.0,0.0,0.0
42,24,J01DC14,ultra,0.0011732499022291747,0.0011732499022291747,3.0,1820,0.0005494505494505495,0.0005494505494505495,0.0005494505494505495,0.0005494505494505495,1.0,0.0,0.0
42,25,J01DD04,ultra,0.004301916308173641,0.004301916308173641,11.0,1820,0.006043956043956044,0.013736263736263736,0.006043956043956044,0.006043956043956044,1.0,0.56,-0.007692307692307692
42,26,J01GB03,sparse,0.34728197105983577,2.5189675400860385,6441.0,1820,17.499097527472525,19.747252747252748,2.563489010989011,3.5087912087912088,21.0,0.11384648024485267,-2.248155219780223
42,27,J01GB07,sparse,0.4657802111849824,5.511928040672664,14094.0,1820,16.12989010989011,19.752197802197802,1.9436263736263737,3.3807692307692307,29.0,0.18338757684497486,-3.622307692307693
42,28,J01MA02,sparse,0.06570199452483379,0.07235041063746578,185.0,1820,0.2392129120879121,0.27692307692307694,0.19793956043956043,0.0978021978021978,3.0,0.1361755952380953,-0.037710164835164844
42,29,M01AB05,dense,0.7704341024638248,4.764567852952679,12183.0,1820,34.30033516483517,41.72857142857143,3.9476923076923076,5.102197802197802,37.0,0.17801319358491552,-7.42823626373626
42,30,M01AB15,sparse,0.1396167383652718,0.31795072350410636,813.0,1820,0.565271978021978,0.5637362637362637,0.2642307692307692,0.25934065934065936,7.0,-0.0027241715399610733,0.001535714285714307
42,31,M03AB01,ultra,0.003910833007430583,0.016816581931951506,43.0,1820,0.0,0.0,0.0,0.0,0.0,,0.0
