seed,bucket,n_rows,mse,naive_mse,mae,skill
42,dense,7280,31.958581730769232,39.434065934065934,3.727211538461538,0.18956919673958472
42,sparse,54600,3.8688436355311353,4.702673992673993,0.6676858974358975,0.17730983658272514
42,ultra,25480,0.0010596546310832026,0.0020800627943485086,0.0010596546310832026,0.49056603773584906
123,dense,7280,34.07353708791209,39.434065934065934,3.8431593406593407,0.1359364985369932
123,sparse,54600,4.241059478021978,4.702673992673993,0.6882115384615385,0.09816000755551735
123,ultra,25480,0.0010596546310832026,0.0020800627943485086,0.0010596546310832026,0.49056603773584906
456,dense,7280,33.09156353021978,39.434065934065934,3.7801854395604395,0.16083815486972275
456,sparse,54600,3.8512503663003663,4.702673992673993,0.6602600732600732,0.1810509569023936
456,ultra,25480,0.0010596546310832026,0.0020800627943485086,0.0010596546310832026,0.49056603773584906
789,dense,7280,35.67425789835165,39.434065934065934,3.8665453296703296,0.09534416364776366
789,sparse,54600,3.9612481227106224,4.702673992673993,0.6730265567765568,0.15766048659090381
789,ultra,25480,0.0010596546310832026,0.0020800627943485086,0.0010596546310832026,0.49056603773584906
1024,dense,7280,34.29176304945055,39.434065934065934,3.819835164835165,0.13040255329524864
1024,sparse,54600,4.007702106227106,4.702673992673993,0.6747673992673994,0.1477822803642227
1024,ultra,25480,0.0010596546310832026,0.0020800627943485086,0.0010596546310832026,0.49056603773584906
