seed,n_folds,mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill
42,130,5.081551482371794,3.7781677827380955,0.7282137133699634,0.68046875,0.19381742868310664,0.22118751844354673
123,130,5.490432663690476,3.7329166666666667,0.7507045558608059,0.6829613095238095,0.0979516148140104,0.19235728506233463
456,130,5.164970839056776,3.7650520833333334,0.727987065018315,0.6672247023809523,0.181287200238973,0.21112260843356068
789,130,5.448943967490843,3.889281994047619,0.7431627747252747,0.6739955357142857,0.11791956554691412,0.23045637818889964
1024,130,5.362769803113553,3.6202362351190476,0.7403582875457875,0.6653645833333333,0.1672054268701122,0.18183316900262497
