target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true,n_valid_seeds,positive_seed_count,negative_seed_count,mean_skill,median_skill,std_skill,mean_mse,mean_naive_mse,mean_delta_mse,mean_mae,mean_observed,max_observed,beats_naive
17,H02AB04,ultra,0.0007821666014861165,0.0007821666014861165,2.0,5,5,0,0.8571428571428573,0.8571428571428572,0.0,0.001098901098901099,0.007692307692307693,-0.006593406593406595,0.001098901098901099,0.001098901098901099,1.0,True
25,J01DD04,ultra,0.004301916308173641,0.004301916308173641,11.0,5,5,0,0.56,0.56,0.0,0.006043956043956044,0.013736263736263738,-0.007692307692307691,0.006043956043956044,0.006043956043956044,1.0,True
35,N01AX07,sparse,0.01994524833789597,0.02033633163863903,52.0,5,5,0,0.3227750000000001,0.35389285714285723,0.05386733100395637,0.05209423076923077,0.07692307692307693,-0.02482884615384616,0.05236813186813187,0.02857142857142857,2.0,True
12,C01EA01,sparse,0.01564333202972233,0.03402424716464607,87.0,5,5,0,0.24581005586592175,0.24581005586592175,0.0,0.07417582417582418,0.09835164835164835,-0.024175824175824173,0.03241758241758242,0.03241758241758242,5.0,True
15,D11AH05,sparse,0.1020727414939382,0.15056707078607742,385.0,5,5,0,0.23571719981455724,0.23806328233657859,0.01569904351272322,0.9058010989010988,1.1851648351648352,-0.2793637362637363,0.44549450549450553,0.21043956043956044,5.0,True
10,B05BB02,sparse,0.6589753617520532,4.832225263981228,12356.0,5,5,0,0.23439442213008554,0.2625500777403472,0.055676655969437154,32.46672445054945,42.40659340659341,-9.939868956043957,4.223104395604396,4.841758241758241,22.0,True
6,A11EA,sparse,0.09112240907313257,0.13805240516229958,353.0,5,5,0,0.2241540330417881,0.22351797862001943,0.0029167834868043803,0.43865137362637363,0.5653846153846154,-0.12673324175824174,0.27643406593406594,0.19065934065934065,5.0,True
46,R06AB04,sparse,0.4743840438013297,1.5420414548298789,3943.0,5,5,0,0.18034129655771525,0.18041535454446722,0.07860226302258135,4.147382967032967,5.05989010989011,-0.9125071428571427,1.3694725274725275,1.415934065934066,12.0,True
16,H02AB02,dense,0.7989831834180681,10.864294094642158,27780.0,5,5,0,0.16074459593927976,0.17655608014170887,0.04539626788060986,65.34156675824175,77.8565934065934,-12.515026648351649,5.514291208791208,7.812637362637362,58.0,True
21,J01DC05,sparse,0.4337113805240516,3.147829487680876,8049.0,5,5,0,0.14710042053035238,0.15302116266053523,0.03566812770653152,30.979468406593405,36.322527472527476,-5.343059065934069,3.9084010989010993,4.093956043956044,22.0,True
27,J01GB07,sparse,0.4657802111849824,5.511928040672664,14094.0,5,5,0,0.13604740048401903,0.1602370719630587,0.06260386789410079,17.064962637362637,19.752197802197802,-2.6872351648351644,2.0143846153846154,3.3807692307692307,29.0,True
29,M01AB05,dense,0.7704341024638248,4.764567852952679,12183.0,5,5,0,0.13363801253522234,0.13037566165433323,0.03351930646932453,36.15204807692308,41.72857142857143,-5.5765233516483494,4.054917582417582,5.102197802197802,37.0,True
40,N02AX02,dense,0.7446226046147829,5.60735236605397,14338.0,5,5,0,0.12169184504267896,0.11127216021011166,0.03956805462116326,18.374496153846156,20.92032967032967,-2.545833516483517,2.8971428571428572,3.2598901098901094,31.0,True
28,J01MA02,sparse,0.06570199452483379,0.07235041063746578,185.0,5,5,0,0.114795634920635,0.13378472222222226,0.029561368746655957,0.2451335164835165,0.27692307692307694,-0.03178956043956046,0.20153846153846153,0.0978021978021978,3.0,True
38,N01BB52,dense,0.7059053578412202,3.501759874853344,8954.0,5,4,1,0.10603807397959182,0.10619746492346938,0.08392659191534926,15.40365164835165,17.23076923076923,-1.8271175824175816,2.7631978021978023,3.778021978021978,26.0,True
26,J01GB03,sparse,0.34728197105983577,2.5189675400860385,6441.0,5,5,0,0.09407127156371733,0.09110197551474675,0.018464225654436603,17.889603571428573,19.747252747252748,-1.8576491758241764,2.5904890109890113,3.5087912087912088,21.0,True
