bucket,n_targets,valid_targets,positive_targets,negative_targets,mean_drug_skill,median_drug_skill,mean_nonzero_rate,median_nonzero_rate,mean_total_y,mean_row_skill,median_row_skill,mean_row_mse,mean_row_naive_mse,mean_row_mae,positive_target_share
dense,4,4,4,0,0.1305281318741932,0.12766492878895064,0.754986312084474,0.7575283535393038,15813.75,0.1424181134178626,0.1359364985369932,33.817940659340664,39.434065934065934,3.8073873626373627,1.0
sparse,30,30,14,12,0.05854823445445286,0.0,0.15546864815539044,0.08564724286272976,1921.7333333333333,0.15239271359915252,0.15766048659090381,3.9860207417582414,4.702673992673993,0.672790293040293,0.4666666666666667
ultra,14,8,2,0,0.17714285714285716,0.0,0.0023185652829767027,0.0017598748533437622,16.142857142857142,0.49056603773584906,0.49056603773584906,0.0010596546310832026,0.0020800627943485086,0.0010596546310832026,0.25
